trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
0,1,20,Congruent,20_0.633_0.755.png,2.3357784748077393,0.635,0.752,9.159959435462952,0.0,1.0,1.8039458990097046,hidden,2.803946018218994,3.0,2.356013536453247,fixation,1.0
1,1,3,Incongruent,3_0.408_0.429.png,2.27496600151062,0.414,0.435,9.416531682014465,11.49573802947998,1.0,1.9657551050186157,hidden,14.461492538452148,3.0,2.4507765769958496,fixation,1.0
2,1,2,Incongruent,2_0.939_0.061.png,2.106846809387207,0.936,0.065,9.412781476974487,23.18723487854004,1.0,2.2507145404815674,hidden,26.437950134277344,3.0,2.16206693649292,fixation,1.0
3,1,1,Medium,1_0.673_0.327.png,2.388239860534668,0.665,0.336,9.378116369247437,34.70686340332031,1.0,2.176978349685669,hidden,37.88384246826172,3.0,2.2011380195617676,fixation,1.0
4,1,9,Medium,9_0.204_0.000.png,2.1495704650878906,0.214,0.0,9.287938356399536,46.47322082519531,1.0,1.9952709674835205,hidden,49.46849060058594,3.0,2.2926673889160156,fixation,1.0
5,1,20,Congruent,20_1.000_0.837.png,2.169023275375366,1.0,0.834,9.298005819320679,57.910728454589844,1.0,2.1485795974731445,hidden,61.05930709838867,3.0,2.149426221847534,fixation,1.0
6,1,3,Incongruent,3_0.449_0.388.png,2.0990471839904785,0.457,0.389,8.897260785102844,69.37776184082031,1.0,2.0532236099243164,hidden,72.43098449707031,3.0,1.8440371751785278,fixation,1.0
7,1,2,Incongruent,2_0.612_0.204.png,2.3742306232452393,0.613,0.206,9.117466807365417,80.37406921386719,1.0,2.185497760772705,hidden,83.55956268310547,3.0,1.9319690465927124,fixation,1.0
8,1,11,Congruent,11_0.327_0.980.png,2.454268217086792,0.322,0.979,9.301592826843262,91.86576080322266,1.0,2.2236270904541016,hidden,95.08939361572266,3.0,2.07796573638916,fixation,1.0
9,1,22,Congruent,13b_0.755_0.673.png,2.1059980392456055,0.751,0.683,9.275375962257385,103.62162780761719,1.0,2.33868670463562,hidden,106.96031188964844,3.0,1.9366892576217651,fixation,1.0
10,1,1,Medium,1_0.939_0.347.png,2.2334470748901367,0.944,0.345,9.268867015838623,115.00299835205078,1.0,2.038492202758789,hidden,118.04148864746094,3.0,2.230374813079834,fixation,1.0
11,1,18,Incongruent,18_0.347_0.041.png,2.4293854236602783,0.34,0.045,9.647562026977539,126.50531005859375,1.0,2.308354377746582,hidden,129.81365966796875,3.0,2.339207649230957,fixation,1.0
12,1,22,Congruent,13b_0.694_0.612.png,2.405118465423584,0.689,0.604,8.971557378768921,138.58226013183594,1.0,2.0418543815612793,hidden,141.62411499023438,3.0,1.9297029972076416,fixation,1.0
13,1,8,Medium,8_0.878_0.939.png,2.2457098960876465,0.887,0.948,9.507603406906128,149.9589385986328,1.0,2.2718610763549805,hidden,153.23080444335938,3.0,2.2357423305511475,fixation,1.0
14,1,1,Medium,1_0.714_0.551.png,2.4034721851348877,0.717,0.552,9.3157479763031,161.71224975585938,1.0,2.1707239151000977,hidden,164.8829803466797,3.0,2.145024061203003,fixation,1.0
15,1,3,Incongruent,3_0.408_0.245.png,2.2427806854248047,0.415,0.25,9.084129929542542,173.4314727783203,1.0,1.9206730127334595,hidden,176.35214233398438,3.0,2.163456916809082,fixation,1.0
16,1,18,Incongruent,18_0.224_0.551.png,2.144378185272217,0.218,0.554,9.233774185180664,184.7583770751953,1.0,2.1006171703338623,hidden,187.85899353027344,3.0,2.1331570148468018,fixation,1.0
17,1,11,Congruent,11_0.612_0.755.png,2.167177200317383,0.615,0.751,9.49466061592102,196.13653564453125,1.0,2.4178709983825684,hidden,199.5543975830078,3.0,2.076789617538452,fixation,1.0
18,1,9,Medium,9_0.408_0.204.png,2.3911056518554688,0.405,0.202,9.362818002700806,207.79837036132812,1.0,2.139132499694824,hidden,210.9375,3.0,2.2236855030059814,fixation,1.0
19,1,8,Medium,8_0.796_0.367.png,2.1567530632019043,0.79,0.362,9.374152660369873,219.5522918701172,1.0,2.119009494781494,hidden,222.6713104248047,3.0,2.255143165588379,fixation,1.0
20,1,18,Incongruent,18_0.367_0.612.png,2.1225762367248535,0.367,0.622,9.518265962600708,231.0832061767578,1.0,2.1699743270874023,hidden,234.253173828125,3.0,2.3482916355133057,fixation,1.0
21,1,9,Medium,9_0.184_0.837.png,2.1374175548553467,0.175,0.84,9.265475988388062,242.7240447998047,1.0,2.2516040802001953,hidden,245.97564697265625,3.0,2.013871908187866,fixation,1.0
22,1,22,Congruent,13b_1.000_0.714.png,2.2641191482543945,1.0,0.706,8.879361152648926,254.12693786621094,1.0,2.0042884349823,hidden,257.1312255859375,3.0,1.875072717666626,fixation,1.0
23,1,8,Medium,8_1.000_0.755.png,2.101759910583496,1.0,0.756,9.043727397918701,265.2704162597656,1.0,1.873706579208374,hidden,268.1441345214844,3.0,2.170020818710327,fixation,1.0
24,1,20,Congruent,20_0.694_0.673.png,2.4354794025421143,0.686,0.671,9.384975671768188,276.4158935546875,1.0,2.0054094791412354,hidden,279.42132568359375,3.0,2.379566192626953,fixation,1.0
25,1,11,Congruent,11_0.041_0.429.png,2.0606279373168945,0.041,0.434,9.222534775733948,288.2363586425781,1.0,2.287548780441284,hidden,291.5238952636719,3.0,1.9349859952926636,fixation,1.0
26,1,2,Incongruent,2_0.837_0.347.png,2.085355043411255,0.843,0.354,9.216742396354675,299.51953125,1.0,2.3348228931427,hidden,302.8543395996094,3.0,1.881919503211975,fixation,1.0
27,2,8,Medium,8_0.286_0.571.png,2.0974910259246826,0.279,0.568,9.502218008041382,0.0,1.0,2.045952558517456,hidden,3.045952558517456,3.0,2.456265449523926,fixation,1.0
28,2,9,Medium,9_0.224_0.265.png,2.16320538520813,0.216,0.259,8.810457587242126,11.599708557128906,1.0,1.9870492219924927,hidden,14.586758613586426,3.0,1.8234083652496338,fixation,1.0
29,2,2,Incongruent,2_0.959_0.551.png,2.3764989376068115,0.957,0.551,9.541394472122192,22.57337188720703,1.0,2.2326948642730713,hidden,25.806066513061523,3.0,2.308699607849121,fixation,1.0
30,2,18,Incongruent,18_0.204_0.469.png,2.29729962348938,0.211,0.467,9.17982828617096,34.49126434326172,1.0,1.8116427659988403,hidden,37.30290985107422,3.0,2.368185520172119,fixation,1.0
31,2,22,Congruent,13b_0.490_0.449.png,2.228658676147461,0.498,0.452,9.132569313049316,45.96839141845703,1.0,2.0020084381103516,hidden,48.970401763916016,3.0,2.130560874938965,fixation,1.0
32,2,11,Congruent,11_0.122_1.000.png,2.3333044052124023,0.125,1.0,9.156073331832886,57.329620361328125,1.0,2.3352982997894287,hidden,60.664920806884766,3.0,1.820775032043457,fixation,1.0
33,2,20,Congruent,20_0.633_0.612.png,2.2014007568359375,0.642,0.603,9.239940643310547,68.81900024414062,1.0,2.2076094150543213,hidden,72.026611328125,3.0,2.0323312282562256,fixation,1.0
34,2,11,Congruent,11_0.224_0.878.png,2.1599860191345215,0.224,0.87,9.31378161907196,80.26033782958984,1.0,1.9497298002243042,hidden,83.21006774902344,3.0,2.3640518188476562,fixation,1.0
35,2,22,Congruent,13b_0.714_0.776.png,2.2755439281463623,0.719,0.775,9.198242545127869,91.7341079711914,1.0,1.8476272821426392,hidden,94.58173370361328,3.0,2.3506152629852295,fixation,1.0
36,2,1,Medium,1_0.694_0.592.png,2.0982072353363037,0.687,0.59,8.920085310935974,103.20789337158203,1.0,1.8278032541275024,hidden,106.03569793701172,3.0,2.0922820568084717,fixation,1.0
37,2,9,Medium,9_0.245_0.429.png,2.242729902267456,0.235,0.422,8.661706566810608,114.22618865966797,1.0,1.8555468320846558,hidden,117.08173370361328,3.0,1.8061597347259521,fixation,1.0
38,2,8,Medium,8_0.980_0.959.png,2.266300916671753,0.984,0.961,9.642363786697388,125.13062286376953,1.0,2.2048702239990234,hidden,128.3354949951172,3.0,2.4374935626983643,fixation,1.0
39,2,18,Incongruent,18_0.082_0.388.png,2.386084794998169,0.073,0.395,9.627191543579102,137.03929138183594,1.0,2.3568532466888428,hidden,140.39614868164062,3.0,2.270338296890259,fixation,1.0
40,2,1,Medium,1_0.592_0.367.png,2.308957099914551,0.586,0.369,9.412699222564697,149.0525665283203,1.0,2.2839698791503906,hidden,152.33653259277344,3.0,2.1287293434143066,fixation,1.0
41,2,3,Incongruent,3_0.633_0.367.png,2.2254061698913574,0.63,0.367,9.0730562210083,160.7742156982422,1.0,1.8803815841674805,hidden,163.65460205078125,3.0,2.1926746368408203,fixation,1.0
42,2,1,Medium,1_0.837_0.408.png,2.327894926071167,0.844,0.418,9.638456344604492,172.0726776123047,1.0,2.349256753921509,hidden,175.42193603515625,3.0,2.2891995906829834,fixation,1.0
43,2,3,Incongruent,3_0.000_0.000.png,2.185107707977295,0.0,0.0,9.549256563186646,184.03903198242188,1.0,2.34954571723938,hidden,187.38858032226562,3.0,2.1997108459472656,fixation,1.0
44,2,22,Congruent,13b_0.816_0.959.png,2.210536241531372,0.807,0.968,9.509418725967407,195.7733917236328,1.0,2.3950002193450928,hidden,199.16839599609375,3.0,2.1144185066223145,fixation,1.0
45,2,2,Incongruent,2_0.510_0.102.png,2.190988302230835,0.515,0.093,9.124174118041992,207.49334716796875,1.0,1.8356540203094482,hidden,210.32901000976562,3.0,2.288520097732544,fixation,1.0
46,2,18,Incongruent,18_0.102_0.000.png,2.2559545040130615,0.107,0.0,9.618551254272461,218.8085174560547,1.0,2.3716323375701904,hidden,222.18014526367188,3.0,2.2469189167022705,fixation,1.0
47,2,2,Incongruent,2_1.000_0.510.png,2.4377949237823486,1.0,0.504,9.071917295455933,230.6830291748047,1.0,2.208462953567505,hidden,233.8914794921875,3.0,1.8634543418884277,fixation,1.0
48,2,3,Incongruent,3_0.469_0.347.png,2.100507974624634,0.473,0.35,9.592602252960205,242.19273376464844,1.0,2.192256212234497,hidden,245.38499450683594,3.0,2.400346040725708,fixation,1.0
49,2,20,Congruent,20_0.796_0.673.png,2.299443006515503,0.789,0.677,8.761837840080261,253.88584899902344,1.0,1.871814489364624,hidden,256.7576599121094,3.0,1.8900233507156372,fixation,1.0
50,2,8,Medium,8_0.878_0.612.png,2.083470582962036,0.881,0.617,9.1367769241333,264.9471130371094,1.0,2.050851583480835,hidden,267.99798583984375,3.0,2.085925340652466,fixation,1.0
51,2,11,Congruent,11_0.224_0.837.png,2.4250283241271973,0.223,0.842,8.924633145332336,276.1673583984375,1.0,2.068298816680908,hidden,279.23565673828125,3.0,1.8563343286514282,fixation,1.0
52,2,9,Medium,9_0.776_0.367.png,2.4592628479003906,0.785,0.374,9.819052457809448,287.51702880859375,1.0,2.4195289611816406,hidden,290.9365539550781,3.0,2.3995234966278076,fixation,1.0
53,2,20,Congruent,20_0.449_0.694.png,2.390010118484497,0.445,0.703,9.3089759349823,299.79534912109375,1.0,2.2315211296081543,hidden,303.02685546875,3.0,2.0774548053741455,fixation,1.0
54,3,11,Congruent,11_0.469_0.857.png,2.1750850677490234,0.477,0.853,9.087732553482056,0.0,1.0,2.299818277359009,hidden,3.299818277359009,2.5,2.287914276123047,fixation,1.0
55,3,2,Incongruent,2_0.816_0.245.png,2.2625885009765625,0.825,0.24,8.335480332374573,11.2628173828125,1.0,2.0151190757751465,hidden,14.277936935424805,2.5,1.8203612565994263,fixation,1.0
56,3,20,Congruent,20_0.449_0.796.png,2.125382423400879,0.451,0.792,8.614177703857422,21.860885620117188,1.0,2.113347291946411,hidden,24.974233627319336,2.5,2.0008304119110107,fixation,1.0
57,3,8,Medium,8_0.918_0.653.png,2.466740131378174,0.924,0.65,8.893998384475708,32.60044479370117,1.0,2.201479434967041,hidden,35.80192565917969,2.5,2.192518949508667,fixation,1.0
58,3,9,Medium,9_0.163_0.510.png,2.170083999633789,0.153,0.508,9.027892827987671,43.961185455322266,1.0,2.130067825317383,hidden,47.091251373291016,2.5,2.397825002670288,fixation,1.0
59,3,18,Incongruent,18_0.449_0.204.png,2.3106865882873535,0.456,0.199,8.617047429084778,55.15916061401367,1.0,1.8308430910110474,hidden,57.99000549316406,2.5,2.2862043380737305,fixation,1.0
