trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
0,1,20,Congruent,20_0.633_0.755.png,2.1561174392700195,0.635,0.752,9.498111486434937,0.0,1.0,2.2718613147735596,hidden,3.2718613147735596,3.0,2.226250171661377,fixation,1.0
1,1,3,Incongruent,3_0.408_0.429.png,2.320955514907837,0.414,0.435,9.423426389694214,11.654229164123535,1.0,2.2475061416625977,hidden,14.901735305786133,3.0,2.175920248031616,fixation,1.0
2,1,2,Incongruent,2_0.939_0.061.png,2.039498805999756,0.936,0.065,9.40566110610962,23.398611068725586,1.0,2.194915294647217,hidden,26.59352684020996,3.0,2.2107458114624023,fixation,1.0
3,1,1,Medium,1_0.673_0.327.png,1.9635834693908691,0.665,0.336,9.245744943618774,34.84376907348633,1.0,2.078458309173584,hidden,37.9222297668457,3.0,2.1672866344451904,fixation,1.0
4,1,9,Medium,9_0.204_0.000.png,2.2916812896728516,0.214,0.0,9.485472440719604,46.0531005859375,1.0,2.260244369506836,hidden,49.3133430480957,3.0,2.2252280712127686,fixation,1.0
5,1,20,Congruent,20_1.000_0.837.png,2.1045665740966797,1.0,0.834,9.383057117462158,57.83025360107422,1.0,2.090894937515259,hidden,60.921146392822266,3.0,2.2921621799468994,fixation,1.0
6,1,3,Incongruent,3_0.449_0.388.png,2.1253726482391357,0.457,0.389,9.345210790634155,69.31787872314453,1.0,2.2228987216949463,hidden,72.540771484375,3.0,2.122312068939209,fixation,1.0
7,1,2,Incongruent,2_0.612_0.204.png,2.102787733078003,0.613,0.206,9.230912208557129,80.78845977783203,1.0,2.0306127071380615,hidden,83.81907653808594,3.0,2.2002995014190674,fixation,1.0
8,1,11,Congruent,11_0.327_0.980.png,2.165215253829956,0.322,0.979,9.576991081237793,92.12216186523438,1.0,2.249758720397949,hidden,95.37191772460938,3.0,2.3272323608398438,fixation,1.0
9,1,22,Congruent,13b_0.755_0.673.png,1.9424041509628296,0.751,0.683,9.662362575531006,103.86436462402344,1.0,2.3088552951812744,hidden,107.1732177734375,3.0,2.3535072803497314,fixation,1.0
10,1,1,Medium,1_0.939_0.347.png,2.1813666820526123,0.944,0.345,9.438910484313965,115.46913146972656,1.0,2.216618061065674,hidden,118.68575286865234,3.0,2.222292423248291,fixation,1.0
11,1,18,Incongruent,18_0.347_0.041.png,2.1070642471313477,0.34,0.045,9.237628698348999,127.08940887451172,1.0,2.019664764404297,hidden,130.10906982421875,3.0,2.217963933944702,fixation,1.0
12,1,22,Congruent,13b_0.694_0.612.png,1.940560221672058,0.689,0.604,9.281035423278809,138.43409729003906,1.0,2.1837339401245117,hidden,141.6178436279297,3.0,2.097301483154297,fixation,1.0
13,1,8,Medium,8_0.878_0.939.png,2.114935874938965,0.887,0.948,9.637953042984009,149.65570068359375,1.0,2.377732038497925,hidden,153.03343200683594,3.0,2.260221004486084,fixation,1.0
14,1,1,Medium,1_0.714_0.551.png,2.17545747756958,0.717,0.552,9.616780519485474,161.40858459472656,1.0,2.3704934120178223,hidden,164.77908325195312,3.0,2.2462871074676514,fixation,1.0
15,1,3,Incongruent,3_0.408_0.245.png,2.1638343334198,0.415,0.25,9.554475784301758,173.20082092285156,1.0,2.3611555099487305,hidden,176.56198120117188,3.0,2.1933202743530273,fixation,1.0
16,1,18,Incongruent,18_0.224_0.551.png,2.340228319168091,0.218,0.554,9.281453847885132,184.91912841796875,1.0,2.0974063873291016,hidden,188.01654052734375,3.0,2.1840474605560303,fixation,1.0
17,1,11,Congruent,11_0.612_0.755.png,2.256404161453247,0.615,0.751,9.733291625976562,196.5408172607422,1.0,2.36842942237854,hidden,199.90924072265625,3.0,2.3648622035980225,fixation,1.0
18,1,9,Medium,9_0.408_0.204.png,2.1353394985198975,0.405,0.202,9.457814693450928,208.530517578125,1.0,2.2041358947753906,hidden,211.73464965820312,3.0,2.253678798675537,fixation,1.0
