rank_stage1,var_idx,best_iter,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,csv
0,3,0,2030.9097687317708,2037.7983590766896,2038.0853179419776,design_optimisation\optim_longer_isi_v3\designs\cand_rank0000.csv
1,5,0,2033.6893109317523,2039.3297459123153,2039.8481364271847,design_optimisation\optim_longer_isi_v3\designs\cand_rank0001.csv
2,9,0,2036.2749191119915,2045.5972748035433,2046.9242782807082,design_optimisation\optim_longer_isi_v3\designs\cand_rank0002.csv
3,7,0,2037.1493488242897,2041.3351168997735,2041.6047561841156,design_optimisation\optim_longer_isi_v3\designs\cand_rank0003.csv
4,6,0,2039.3643825853628,2045.1593220766124,2045.1614546966678,design_optimisation\optim_longer_isi_v3\designs\cand_rank0004.csv
5,4,0,2039.4309715444697,2044.993703762679,2045.2709859149352,design_optimisation\optim_longer_isi_v3\designs\cand_rank0005.csv
6,2,0,2040.7092116880365,2047.3911867189615,2048.733042423563,design_optimisation\optim_longer_isi_v3\designs\cand_rank0006.csv
7,8,0,2042.5569980332698,2051.2610216053754,2052.3349331440972,design_optimisation\optim_longer_isi_v3\designs\cand_rank0007.csv
8,0,0,2045.7113937274123,2070.452091708026,2075.5182437941526,design_optimisation\optim_longer_isi_v3\designs\cand_rank0008.csv
9,1,0,2051.8142739341483,2057.604755189152,2057.6120788721055,design_optimisation\optim_longer_isi_v3\designs\cand_rank0009.csv
