trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
0,1,22,Incongruent,13b_0.918_0.735.png,1.0690959692001343,0.916,0.736,6.448152303695679,0.0,1.0,1.1582200527191162,hidden,2.158220052719116,2.0,1.2899322509765625,fixation,1.0
1,1,3,Medium,3_0.408_0.429.png,1.280281901359558,0.416,0.422,6.1054641008377075,7.517248153686523,1.0,1.0578725337982178,hidden,9.57512092590332,2.0,1.0475915670394897,fixation,1.0
2,1,18,Congruent,18_0.531_0.327.png,1.1023982763290405,0.537,0.335,6.66702401638031,14.902994155883789,1.0,1.2942248582839966,hidden,17.197219848632812,2.0,1.3727991580963135,fixation,1.0
3,1,2,Congruent,2_0.571_0.224.png,1.2038408517837524,0.579,0.228,6.643069267272949,22.67241668701172,1.0,1.1678944826126099,hidden,24.84031105041504,2.0,1.4751747846603394,fixation,1.0
4,1,1,Incongruent,1_0.612_0.286.png,1.4187102317810059,0.619,0.291,6.701327562332153,30.51932716369629,1.0,1.4571473598480225,hidden,32.97647476196289,2.0,1.2441802024841309,fixation,1.0
5,1,9,Congruent,9_0.367_0.490.png,1.369215726852417,0.374,0.482,6.668397068977356,38.639366149902344,1.0,1.2241783142089844,hidden,40.86354446411133,2.0,1.4442187547683716,fixation,1.0
6,1,8,Medium,8_0.796_0.408.png,1.2669011354446411,0.804,0.406,6.531081676483154,46.676979064941406,1.0,1.4430423974990845,hidden,49.120018005371094,2.0,1.0880392789840698,fixation,1.0
7,1,11,Incongruent,11_0.286_0.571.png,1.0214288234710693,0.282,0.565,6.546383857727051,54.47496032714844,1.0,1.4451839923858643,hidden,56.920143127441406,2.0,1.1011998653411865,fixation,1.0
8,1,20,Medium,20_1.000_0.245.png,1.3429034948349,1.0,0.246,6.448940634727478,62.04277420043945,1.0,1.0994222164154053,hidden,64.14219665527344,2.0,1.3495184183120728,fixation,1.0
9,1,9,Congruent,9_0.286_0.143.png,1.1547952890396118,0.294,0.136,6.904378771781921,69.8346176147461,1.0,1.4696680307388306,hidden,72.30428314208984,2.0,1.4347107410430908,fixation,1.0
10,1,1,Incongruent,1_0.714_0.612.png,1.0630322694778442,0.721,0.619,6.852413654327393,77.89379119873047,1.0,1.4400968551635742,hidden,80.3338851928711,2.0,1.4123167991638184,fixation,1.0
11,1,11,Incongruent,11_0.102_0.837.png,1.1365636587142944,0.111,0.845,6.71891450881958,85.80923461914062,1.0,1.249632477760315,hidden,88.05886840820312,2.0,1.4692820310592651,fixation,1.0
