var_idx,iter_idx,seed,csv,isi_dist,iti_dist,isi_lo,isi_hi,iti_lo,iti_hi,isi_shape,iti_shape
0,0,0,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0000_iter0000_d000000.csv,uniform,uniform,0.8821770123928727,1.340942760401628,0.5245841143617168,0.9340943783968721,0.25,0.25
1,0,100000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0001_iter0000_d000001.csv,uniform,uniform,0.9879621435201635,1.4902253218883752,0.863981465460308,1.4361561747354963,0.25,0.25
2,0,200000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0002_iter0000_d000002.csv,uniform,uniform,0.8261749948792538,1.4822212061112081,0.9895121324729194,1.3898147035169417,0.25,0.25
3,0,300000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0003_iter0000_d000003.csv,uniform,uniform,1.0144425659525416,1.4173160615966847,0.9377932678579666,1.3662857920582885,0.25,0.25
4,0,400000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0004_iter0000_d000004.csv,uniform,uniform,1.017907353409932,1.4623573380060677,0.6798271343224309,1.2574288353383396,0.25,0.25
5,0,500000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0005_iter0000_d000005.csv,uniform,uniform,0.5169918026872777,0.9894499716754072,0.9023746488161782,1.4302757033235256,0.25,0.25
6,0,600000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0006_iter0000_d000006.csv,uniform,uniform,0.8692310668887524,1.3577719267445,1.0983259614735266,1.4999679176187646,0.25,0.25
7,0,700000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0007_iter0000_d000007.csv,uniform,uniform,0.9113251906884169,1.4340504706031976,0.9130680383425641,1.3857698830575813,0.25,0.25
8,0,800000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0008_iter0000_d000008.csv,uniform,uniform,0.5810579030134467,1.3554685752251112,0.8152125934854355,1.3035655726180848,0.25,0.25
9,0,900000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0009_iter0000_d000009.csv,uniform,uniform,0.7915012152990735,1.4659071312019991,1.06042610957375,1.4745854574833535,0.25,0.25
10,0,1000000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0010_iter0000_d000010.csv,uniform,uniform,0.8429178984378567,1.3256647579241874,0.8565800181198182,1.3388343625098746,0.25,0.25
11,0,1100000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0011_iter0000_d000011.csv,uniform,uniform,0.7349714003168968,1.4599470003629882,0.6362945561200278,1.3252698276669617,0.25,0.25
12,0,1200000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0012_iter0000_d000012.csv,uniform,uniform,0.5504092061494309,1.4080227642532923,0.9722589844932101,1.4028362802224243,0.25,0.25
13,0,1300000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0013_iter0000_d000013.csv,uniform,uniform,1.0258905384864225,1.4302309840077438,0.7016702363273962,1.1615310208604623,0.25,0.25
14,0,1400000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0014_iter0000_d000014.csv,uniform,uniform,0.7702036199895722,1.4328284816447674,0.6383853253962485,1.0623991213595598,0.25,0.25
15,0,1500000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0015_iter0000_d000015.csv,uniform,uniform,0.742731103892917,1.2136536401675948,0.5544518273714731,1.2710511000637523,0.25,0.25
16,0,1600000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0016_iter0000_d000016.csv,uniform,uniform,0.6792176796913536,1.3619812436733563,0.619709266380928,1.4721974633782398,0.25,0.25
17,0,1700000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0017_iter0000_d000017.csv,uniform,uniform,0.7190661009468972,1.159252829125282,0.8774648909238256,1.4837893305212553,0.25,0.25
18,0,1800000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0018_iter0000_d000018.csv,uniform,uniform,0.7642262928294704,1.4847526817257553,0.7999374882125883,1.327532657468709,0.25,0.25
19,0,1900000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0019_iter0000_d000019.csv,uniform,uniform,0.8721280712092268,1.498882631190158,1.0693662049626593,1.483459133468179,0.25,0.25
20,0,2000000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0020_iter0000_d000020.csv,uniform,uniform,0.954637307184975,1.4269440096683634,0.8175872961180624,1.4395031605284119,0.25,0.25
21,0,2100000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0021_iter0000_d000021.csv,uniform,uniform,0.7487935096134025,1.4067489071079347,0.92668572679385,1.4882249739639997,0.25,0.25
22,0,2200000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0022_iter0000_d000022.csv,uniform,uniform,0.5689595799685432,1.3560960739500283,1.056454357174736,1.4986033253224134,0.25,0.25
23,0,2300000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0023_iter0000_d000023.csv,uniform,uniform,0.5088237829792216,1.4193872643980847,1.0887170240398065,1.4995172034852096,0.25,0.25
24,0,2400000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0024_iter0000_d000024.csv,uniform,uniform,0.5892584073394987,1.486020396778929,1.0339613334323126,1.4882698044234222,0.25,0.25
25,0,2500000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0025_iter0000_d000025.csv,uniform,uniform,0.7879927542846994,1.2604947889201816,0.9811283472309849,1.4909099037064786,0.25,0.25
26,0,2600000,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0026_iter0000_d000026.csv,uniform,uniform,0.6596781633753755,1.296982751559781,0.7656516973847189,1.476935756688453,0.25,0.25
