trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
0,1,22,Incongruent,13b_0.918_0.735.png,2.6357314586639404,0.916,0.736,6.716177940368652,0.0,1.0,1.253411889076233,hidden,2.2534117698669434,2.0,1.4627660512924194,fixation,1.0
1,1,3,Medium,3_0.408_0.429.png,3.3831164836883545,0.416,0.422,6.9970691204071045,9.351909637451172,1.0,1.4985345602035522,hidden,11.850443840026855,2.0,1.4985345602035522,fixation,1.0
2,1,18,Congruent,18_0.531_0.327.png,2.8159048557281494,0.537,0.335,6.296799898147583,19.73209571838379,1.0,1.2742962837219238,hidden,22.006391525268555,2.0,1.0225036144256592,fixation,1.0
3,1,2,Congruent,2_0.571_0.224.png,3.3831164836883545,0.579,0.228,6.809503674507141,28.844799041748047,1.0,1.4985345602035522,hidden,31.343334197998047,2.0,1.3109691143035889,fixation,1.0
4,1,1,Incongruent,1_0.612_0.286.png,2.893176794052124,0.619,0.291,6.495255291461945,39.037418365478516,1.0,0.9967207312583923,hidden,41.034141540527344,2.0,1.4985345602035522,fixation,1.0
5,1,9,Congruent,9_0.367_0.490.png,2.379016160964966,0.374,0.482,6.875733256340027,48.42585372924805,1.0,1.4985345602035522,hidden,50.92438507080078,2.0,1.3771986961364746,fixation,1.0
6,1,8,Medium,8_0.796_0.408.png,3.3831164836883545,0.804,0.406,6.5969085693359375,57.68060302734375,1.0,1.0983740091323853,hidden,59.77897644042969,2.0,1.4985345602035522,fixation,1.0
7,1,11,Incongruent,11_0.286_0.571.png,2.4956135749816895,0.282,0.565,6.9970691204071045,67.66062927246094,1.0,1.4985345602035522,hidden,70.15916442871094,2.0,1.4985345602035522,fixation,1.0
8,1,20,Medium,20_1.000_0.245.png,3.3831164836883545,1.0,0.246,6.940192699432373,77.15331268310547,1.0,1.4416581392288208,hidden,79.594970703125,2.0,1.4985345602035522,fixation,1.0
9,1,9,Congruent,9_0.286_0.143.png,3.3831164836883545,0.294,0.136,6.881629705429077,87.47661590576172,1.0,1.383095145225525,hidden,89.85971069335938,2.0,1.4985345602035522,fixation,1.0
10,1,1,Incongruent,1_0.714_0.612.png,2.4976558685302734,0.721,0.619,6.827715277671814,97.74136352539062,1.0,1.4985345602035522,hidden,100.23989868164062,2.0,1.3291807174682617,fixation,1.0
11,1,11,Incongruent,11_0.102_0.837.png,3.3831164836883545,0.111,0.845,6.806883454322815,107.06673431396484,1.0,1.3083488941192627,hidden,109.37508392333984,2.0,1.4985345602035522,fixation,1.0
12,1,8,Medium,8_0.469_0.592.png,2.854769468307495,0.461,0.591,6.020562827587128,117.2567367553711,1.0,0.9741541743278503,hidden,119.23088836669922,2.0,1.0464086532592773,fixation,1.0
13,1,9,Congruent,9_0.286_0.490.png,3.3831164836883545,0.284,0.483,6.038105547428131,126.13206481933594,1.0,1.0528002977371216,hidden,128.18487548828125,2.0,0.9853052496910095,fixation,1.0
14,1,2,Congruent,2_0.551_0.388.png,3.3831164836883545,0.546,0.389,6.0580838322639465,135.55328369140625,1.0,1.0791677236557007,hidden,137.63246154785156,2.0,0.9789161086082458,fixation,1.0
15,1,8,Medium,8_0.510_0.245.png,2.699322462081909,0.52,0.251,6.603989481925964,144.99449157714844,1.0,1.105454921722412,hidden,147.09994506835938,2.0,1.4985345602035522,fixation,1.0
16,1,20,Medium,20_0.204_0.000.png,3.0833520889282227,0.211,0.009,6.862595081329346,154.2978057861328,1.0,1.3640605211257935,hidden,156.661865234375,2.0,1.4985345602035522,fixation,1.0
17,1,22,Incongruent,13b_0.714_0.510.png,2.729109525680542,0.714,0.507,6.5895140171051025,164.24374389648438,1.0,1.4016380310058594,hidden,166.6453857421875,2.0,1.1878759860992432,fixation,1.0
18,1,18,Congruent,18_0.020_0.143.png,3.3831164836883545,0.02,0.142,6.428754806518555,173.5623779296875,1.0,1.201554536819458,hidden,175.76393127441406,2.0,1.2272002696990967,fixation,1.0
19,1,20,Medium,20_0.571_0.163.png,3.3831164836883545,0.562,0.157,6.348000109195709,183.37423706054688,1.0,1.3608348369598389,hidden,185.73507690429688,2.0,0.9871652722358704,fixation,1.0
20,1,18,Congruent,18_0.449_0.449.png,3.3831164836883545,0.456,0.44,6.721956849098206,193.10536193847656,1.0,1.2234222888946533,hidden,195.3287811279297,2.0,1.4985345602035522,fixation,1.0
21,1,3,Medium,3_0.551_0.449.png,3.3831164836883545,0.55,0.453,6.9970691204071045,203.21043395996094,1.0,1.4985345602035522,hidden,205.70896911621094,2.0,1.4985345602035522,fixation,1.0
22,1,8,Medium,8_0.653_0.918.png,3.3831164836883545,0.648,0.913,6.509367942810059,213.5906219482422,1.0,1.4985345602035522,hidden,216.0891571044922,2.0,1.0108333826065063,fixation,1.0
23,1,3,Medium,3_0.490_0.184.png,3.3831164836883545,0.499,0.187,6.54388689994812,223.4831085205078,1.0,1.3106213808059692,hidden,225.79373168945312,2.0,1.2332655191421509,fixation,1.0
24,1,1,Incongruent,1_0.612_0.224.png,3.3831164836883545,0.622,0.226,6.63904082775116,233.4101104736328,1.0,1.4985345602035522,hidden,235.9086456298828,2.0,1.1405062675476074,fixation,1.0
25,1,2,Congruent,2_0.816_0.347.png,3.164447784423828,0.824,0.342,6.452625632286072,243.43226623535156,1.0,0.9540910720825195,hidden,245.3863525390625,2.0,1.4985345602035522,fixation,1.0
