var_idx,n_iter,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,best_csv,best_iter
180,4,1524.1920500568915,2028.336367357559,2028.5758051151192,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0480_iter0000_d000780.csv,0
266,4,1526.8570448835544,2030.917874917756,2031.6113404123705,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0566_iter0000_d000566.csv,0
112,4,1528.164374786185,2040.6073358915921,2043.0177469420219,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0412_iter0000_d000712.csv,0
13,4,1529.765214959212,2034.298716742674,2035.0322925211067,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0313_iter0000_d000613.csv,0
198,4,1532.1886834577772,2040.1818055727897,2041.3747840337087,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0498_iter0000_d000498.csv,0
6,4,1536.5067481856072,2054.0200447766,2055.683572842366,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0306_iter0000_d000906.csv,0
136,4,1536.5702644180487,2039.667042049827,2041.3456338485046,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0136_iter0000_d000136.csv,0
208,4,1536.6104112464714,2039.6073932676652,2039.8573927863338,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0508_iter0000_d000508.csv,0
196,4,1538.9558968932024,2050.9130441187535,2052.601826398713,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0496_iter0000_d000796.csv,0
23,4,1540.991531225108,2052.746483523052,2054.187845458639,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0323_iter0000_d000623.csv,0
54,4,2024.0614151307618,2027.972702370301,2028.4287478204167,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0354_iter0000_d000654.csv,0
91,4,2026.5954672571238,2031.3536018676368,2031.8432760474604,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0391_iter0000_d000691.csv,0
296,4,2026.8731263947484,2034.3501782971014,2034.8296382348751,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0596_iter0000_d000596.csv,0
115,4,2026.9906926272251,2029.7024933900898,2030.172787679531,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0415_iter0000_d001015.csv,0
44,4,2027.2883889521665,2031.4370251345288,2031.6574664420552,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0344_iter0000_d000644.csv,0
240,4,2027.2884602871986,2033.6570720988493,2034.85859877437,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0540_iter0000_d000840.csv,0
281,4,2027.301920495907,2030.0715665407015,2030.072376728875,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0281_iter0000_d000281.csv,0
236,4,2027.3104091692314,2032.7927126735751,2033.2738261447091,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0236_iter0000_d000236.csv,0
85,4,2027.7927890531591,2034.053646643285,2035.0209181021119,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0385_iter0000_d000985.csv,0
46,4,2028.1498689159876,2031.7268094163505,2031.7272423681457,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0346_iter0000_d000646.csv,0
290,4,2028.1727949759818,2038.379975435065,2039.8311917606975,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0590_iter0000_d001190.csv,0
268,4,2028.4753700454082,2032.9949231722242,2033.2354791221537,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0568_iter0000_d000568.csv,0
42,4,2028.5522891406265,2031.261128498815,2031.7265293121407,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0342_iter0000_d000342.csv,0
71,4,2028.567655988096,2035.3647807007342,2036.5543000450932,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0371_iter0000_d000671.csv,0
269,4,2028.5900422352452,2031.529993965026,2031.7686631233098,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0269_iter0000_d000269.csv,0
39,4,2028.8543025502058,2029.7990051886864,2030.0125222034771,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0339_iter0000_d000639.csv,0
178,4,2028.8657552262441,2033.3614984894582,2033.3846585684234,design_optimisation\optim_out_gui_hrf_noise\candidate_bank\designs\var0478_iter0000_d001078.csv,0
