rank_stage1,var_idx,best_iter,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,csv
0,293,0,2029.7188651018143,2037.6492290206838,2038.1610118490803,design_optimisation\optim_out_v3_1\designs\cand_rank0000.csv
1,201,0,2030.0881243037477,2035.9414586430078,2038.1989078438767,design_optimisation\optim_out_v3_1\designs\cand_rank0001.csv
2,220,0,2030.6352606497196,2042.5024468815466,2043.354968430623,design_optimisation\optim_out_v3_1\designs\cand_rank0002.csv
3,116,0,2031.6119835007123,2035.514170689786,2036.4294300347995,design_optimisation\optim_out_v3_1\designs\cand_rank0003.csv
4,265,0,2031.6391798678098,2044.3605524113032,2045.25042358527,design_optimisation\optim_out_v3_1\designs\cand_rank0004.csv
5,126,0,2031.9392124670856,2039.9615865607698,2041.7508124786157,design_optimisation\optim_out_v3_1\designs\cand_rank0005.csv
6,259,0,2032.1787609174996,2038.4932195060142,2039.8133272886082,design_optimisation\optim_out_v3_1\designs\cand_rank0006.csv
7,100,0,2032.2284865178287,2035.4886118210889,2036.3582601506832,design_optimisation\optim_out_v3_1\designs\cand_rank0007.csv
8,48,0,2032.4338734624055,2039.4206898396733,2039.8390418490803,design_optimisation\optim_out_v3_1\designs\cand_rank0008.csv
9,285,0,2032.5299985186623,2042.1557328680685,2043.489369366211,design_optimisation\optim_out_v3_1\designs\cand_rank0009.csv
10,283,0,2032.6670171164715,2044.6918211017723,2046.8718974948404,design_optimisation\optim_out_v3_1\designs\cand_rank0010.csv
11,161,0,2032.685665113062,2039.8784227819506,2039.9417373120814,design_optimisation\optim_out_v3_1\designs\cand_rank0011.csv
12,226,0,2032.7201524634363,2041.6934792609782,2043.5110740695602,design_optimisation\optim_out_v3_1\designs\cand_rank0012.csv
13,177,0,2032.7251319747093,2037.1914995314469,2038.054011829451,design_optimisation\optim_out_v3_1\designs\cand_rank0013.csv
14,80,0,2032.7253856519171,2034.0019405166117,2034.3922513356536,design_optimisation\optim_out_v3_1\designs\cand_rank0014.csv
15,47,0,2032.7974599322158,2036.797082895475,2038.1032163546013,design_optimisation\optim_out_v3_1\designs\cand_rank0015.csv
16,85,0,2032.8191032602483,2042.1389606678742,2043.4696096405864,design_optimisation\optim_out_v3_1\designs\cand_rank0016.csv
17,149,0,2032.998103006422,2036.2487664093424,2036.2489645027608,design_optimisation\optim_out_v3_1\designs\cand_rank0017.csv
18,219,0,2033.0077192530487,2038.834169302812,2039.7055904401875,design_optimisation\optim_out_v3_1\designs\cand_rank0018.csv
19,2,0,2033.017603426605,2036.3601507941164,2036.3890189248284,design_optimisation\optim_out_v3_1\designs\cand_rank0019.csv
20,124,0,2033.0454989900293,2046.4345522450592,2050.421145578974,design_optimisation\optim_out_v3_1\designs\cand_rank0020.csv
21,13,0,2033.0561053678737,2044.279587365223,2045.168352087536,design_optimisation\optim_out_v3_1\designs\cand_rank0021.csv
22,196,0,2033.0724083930302,2046.58872991967,2050.6128752184923,design_optimisation\optim_out_v3_1\designs\cand_rank0022.csv
23,36,0,2033.1233257385495,2038.1918009682784,2038.2147662666594,design_optimisation\optim_out_v3_1\designs\cand_rank0023.csv
24,39,0,2033.2682918517157,2044.172067420528,2044.9932672477835,design_optimisation\optim_out_v3_1\designs\cand_rank0024.csv
25,98,0,2033.296348508724,2050.850827922893,2055.7195990202,design_optimisation\optim_out_v3_1\designs\cand_rank0025.csv
26,236,0,2033.303845245543,2041.1577085243098,2043.3363524923795,design_optimisation\optim_out_v3_1\designs\cand_rank0026.csv
27,263,0,2033.376392362877,2039.947093772881,2041.7493203896627,design_optimisation\optim_out_v3_1\designs\cand_rank0027.csv
28,269,0,2033.3794007033139,2042.9493153807982,2045.157502255461,design_optimisation\optim_out_v3_1\designs\cand_rank0028.csv
29,8,0,2033.3989299027432,2039.4674702189475,2039.91446007458,design_optimisation\optim_out_v3_1\designs\cand_rank0029.csv
30,6,0,2033.6006539280852,2039.289708198411,2039.7073570140894,design_optimisation\optim_out_v3_1\designs\cand_rank0030.csv
31,108,0,2033.602261788159,2046.1372382009959,2048.84155804713,design_optimisation\optim_out_v3_1\designs\cand_rank0031.csv
32,128,0,2033.665731083587,2039.398298713122,2039.83940849815,design_optimisation\optim_out_v3_1\designs\cand_rank0032.csv
33,185,0,2033.6707116681262,2044.4050024967783,2047.0704226783678,design_optimisation\optim_out_v3_1\designs\cand_rank0033.csv
34,200,0,2033.679779242186,2042.6511930354825,2043.542283778255,design_optimisation\optim_out_v3_1\designs\cand_rank0034.csv
35,16,0,2033.6851173271752,2039.8735896709898,2041.6442851348752,design_optimisation\optim_out_v3_1\designs\cand_rank0035.csv
36,215,0,2033.6866690299914,2041.7441973435584,2041.7473636181387,design_optimisation\optim_out_v3_1\designs\cand_rank0036.csv
37,207,0,2033.8658677222913,2043.869131586868,2045.269426306953,design_optimisation\optim_out_v3_1\designs\cand_rank0037.csv
38,216,0,2033.8898365636987,2039.3696813702666,2039.76850055274,design_optimisation\optim_out_v3_1\designs\cand_rank0038.csv
39,228,0,2033.91813765598,2042.1850743884474,2043.517776585405,design_optimisation\optim_out_v3_1\designs\cand_rank0039.csv
