var_idx,iter_idx,seed,csv,isi_dist,iti_dist,isi_lo,isi_hi,iti_lo,iti_hi,isi_shape,iti_shape,enc_raw_max_worst,enc_raw_p95_worst,enc_raw_mean,enc_part_max_worst,enc_part_p95_worst,enc_part_mean,dec_raw_max_worst,dec_raw_p95_worst,dec_raw_mean,dec_part_max_worst,dec_part_p95_worst,dec_part_mean,fb_raw_max_worst,fb_raw_p95_worst,fb_raw_mean,fb_part_max_worst,fb_part_p95_worst,fb_part_mean,all_max_worst,all_p95_worst,all_mean,cov_chi2,cov_minbin,cov_chi2_worst,cov_minbin_worst,coll_max,coll_p95,coll_max_worst,coll_p95_worst,coll_enc_max,coll_enc_p95,coll_dec_max,coll_dec_p95,coll_fb_max,coll_fb_p95,enc_part_nuked_n_worst,enc_part_nuked_frac_worst,enc_part_nuked_frac_mean,coll_enc_max_worst,coll_enc_p95_worst,coll_dec_max_worst,coll_dec_p95_worst,coll_fb_max_worst,coll_fb_p95_worst,stage1_obj
0,0,0,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0000_iter0000_d000000.csv,uniform,uniform,0.8821770123928727,1.340942760401628,0.5245841143617168,0.9340943783968721,0.25,0.25,0.28479779542374245,0.1691985986556504,0.04441001000215628,0.26592965758978937,0.17013187492453308,0.04587015606278576,0.2814037932046472,0.16510383203452716,0.04590251146915206,0.28027774063475624,0.16891942893667927,0.046965992144607775,0.2569762662310567,0.1659911657524974,0.04336710858044354,0.258109159561303,0.16822343977363824,0.0445409554583606,0.8815650462735694,0.21167458774231995,0.0641180517801117,37.44444444444444,0.0,37.44444444444444,0.0,0.8815650462735694,0.21167458774231995,0.8815650462735694,0.21167458774231995,0.26592965758978937,0.17013187492453308,0.28027774063475624,0.16891942893667927,0.258109159561303,0.16822343977363824,0.0,0.0,0.0,0.26592965758978937,0.17013187492453308,0.28027774063475624,0.16891942893667927,0.258109159561303,0.16822343977363824,2075.5413459997676
1,0,100000,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0001_iter0000_d000001.csv,uniform,uniform,0.9879621435201635,1.4902253218883752,0.863981465460308,1.4361561747354963,0.25,0.25,0.32224145991337383,0.2005476980817113,0.04434335804294379,0.2992328624647811,0.20689262769226885,0.045371678047906885,0.32641974304390764,0.2030323370754035,0.04613662198956503,0.32613196360252744,0.20986360589765712,0.04690664710858394,0.27827746833835193,0.2003589353715438,0.043518426215607815,0.2762235904867121,0.20600580653825556,0.04434272885270078,0.819282706861725,0.21323477018128797,0.059565539400354986,16.11111111111111,0.0,16.11111111111111,0.0,0.819282706861725,0.21323477018128797,0.819282706861725,0.21323477018128797,0.2992328624647811,0.20689262769226885,0.32613196360252744,0.20986360589765712,0.2762235904867121,0.20600580653825556,0.0,0.0,0.0,0.2992328624647811,0.20689262769226885,0.32613196360252744,0.20986360589765712,0.2762235904867121,0.20600580653825556,2032.8450983458342
2,0,200000,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0002_iter0000_d000002.csv,uniform,uniform,0.8261749948792538,1.4822212061112081,0.9895121324729194,1.3898147035169417,0.25,0.25,0.32241097203807717,0.19837433538570687,0.044448049468434274,0.28406505098180035,0.20079887477953878,0.04532941743331205,0.30373172748960775,0.20300423980993618,0.046199745563086786,0.30374804295888425,0.20723285817964554,0.04688389802195582,0.26473644801558344,0.19494280601926722,0.043651013368847316,0.2645382808096117,0.1995178765458187,0.04428376494164228,0.7931892468533659,0.21464652362379502,0.0602880992022245,17.88888888888889,0.0,17.88888888888889,0.0,0.7931892468533659,0.21464652362379502,0.7931892468533659,0.21464652362379502,0.28406505098180035,0.20079887477953878,0.30374804295888425,0.20723285817964554,0.2645382808096117,0.1995178765458187,0.0,0.0,0.0,0.28406505098180035,0.20079887477953878,0.30374804295888425,0.20723285817964554,0.2645382808096117,0.1995178765458187,2036.3890189248284
3,0,300000,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0003_iter0000_d000003.csv,uniform,uniform,1.0144425659525416,1.4173160615966847,0.9377932678579666,1.3662857920582885,0.25,0.25,0.32723416324113297,0.19933156433607935,0.044649637006996964,0.2948810291538686,0.20593706939389467,0.04557397712095218,0.3230503722349811,0.2023240456195064,0.04646252632155444,0.3225915841080865,0.20974414311693346,0.047157152377307804,0.27353090092131604,0.19973116954303197,0.043866318789897475,0.2727557033913269,0.20336778901125388,0.04455385411736599,0.8001870081162696,0.21792244349677053,0.06035048682248739,13.444444444444445,0.0,13.444444444444445,0.0,0.8001870081162696,0.21792244349677053,0.8001870081162696,0.21792244349677053,0.2948810291538686,0.20593706939389467,0.3225915841080865,0.20974414311693346,0.2727557033913269,0.20336778901125388,0.0,0.0,0.0,0.2948810291538686,0.20593706939389467,0.3225915841080865,0.20974414311693346,0.2727557033913269,0.20336778901125388,2027.5069048364437
4,0,400000,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0004_iter0000_d000004.csv,uniform,uniform,1.017907353409932,1.4623573380060677,0.6798271343224309,1.2574288353383396,0.25,0.25,0.2854180772222143,0.17734143593480176,0.04448668729533481,0.26862330980708693,0.1843322129823969,0.04557450064963575,0.293822574216584,0.17749771194149253,0.04618094403510302,0.2937657337771852,0.18263952627509614,0.04687931868842399,0.25741675972214906,0.17497792602487472,0.04364133905765839,0.25848503111485627,0.18020201926869134,0.044342448139977036,0.8426722895280608,0.2214267120335956,0.0610713710462001,13.444444444444445,0.0,13.444444444444445,0.0,0.8426722895280608,0.2214267120335956,0.8426722895280608,0.2214267120335956,0.26862330980708693,0.1843322129823969,0.2937657337771852,0.18263952627509614,0.25848503111485627,0.18020201926869134,0.0,0.0,0.0,0.26862330980708693,0.1843322129823969,0.2937657337771852,0.18263952627509614,0.25848503111485627,0.18020201926869134,2027.5316517456865
5,0,500000,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0005_iter0000_d000005.csv,uniform,uniform,0.5169918026872777,0.9894499716754072,0.9023746488161782,1.4302757033235256,0.25,0.25,0.2849559913573652,0.17029062120237676,0.045246247200563985,0.2741609449409649,0.1742429048751153,0.046347703188677314,0.2843581806678665,0.1741661531286279,0.046881484329502066,0.2829926141714311,0.18089140961248423,0.048066443948514205,0.24605969358133,0.17025832467283988,0.044359108329693225,0.2515378769221438,0.17489767704664033,0.04544043354442156,0.8033688639223365,0.23992942708250944,0.06670866431498311,13.444444444444446,0.0,13.444444444444446,0.0,0.8033688639223365,0.23992942708250944,0.8033688639223365,0.23992942708250944,0.2741609449409649,0.1742429048751153,0.2829926141714311,0.18089140961248423,0.2515378769221438,0.17489767704664033,0.0,0.0,0.0,0.2741609449409649,0.1742429048751153,0.2829926141714311,0.18089140961248423,0.2515378769221438,0.17489767704664033,2027.5305027479326
6,0,600000,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0006_iter0000_d000006.csv,uniform,uniform,0.8692310668887524,1.3577719267445,1.0983259614735266,1.4999679176187646,0.25,0.25,0.32832229763750603,0.19909831424384472,0.044748383369662026,0.2992616064205003,0.20337953447921908,0.04566711669779326,0.3200869723232061,0.20337308693062373,0.04657832409668311,0.3196426192597263,0.20805032619339534,0.047320244622690286,0.2762985504516598,0.20061694000443167,0.04397898133931792,0.27706587444573416,0.20234745392009168,0.04472675466770162,0.7789989261491846,0.21756692629726698,0.060493312259021145,11.666666666666666,0.0,11.666666666666666,0.0,0.7789989261491846,0.21756692629726698,0.7789989261491846,0.21756692629726698,0.2992616064205003,0.20337953447921908,0.3196426192597263,0.20805032619339534,0.27706587444573416,0.20234745392009168,0.0,0.0,0.0,0.2992616064205003,0.20337953447921908,0.3196426192597263,0.20805032619339534,0.27706587444573416,0.20234745392009168,2023.940399722705
7,0,700000,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0007_iter0000_d000007.csv,uniform,uniform,0.9113251906884169,1.4340504706031976,0.9130680383425641,1.3857698830575813,0.25,0.25,0.27683421393284713,0.17431018842133222,0.044302880545522096,0.2604185547483883,0.17964980700670286,0.04517444799966183,0.27802583114639123,0.17873012626884793,0.04601300605530484,0.27632684547976144,0.1823027039740909,0.04670777236932596,0.2528240892393044,0.17133730984680912,0.043474044205976094,0.25253494302580787,0.1774770487620012,0.044080843489209764,0.8018743234470794,0.2174442009287449,0.06036145909822502,20.555555555555554,0.0,20.555555555555554,0.0,0.8018743234470794,0.2174442009287449,0.8018743234470794,0.2174442009287449,0.2604185547483883,0.17964980700670286,0.27632684547976144,0.1823027039740909,0.25253494302580787,0.1774770487620012,0.0,0.0,0.0,0.2604185547483883,0.17964980700670286,0.27632684547976144,0.1823027039740909,0.25253494302580787,0.1774770487620012,2041.7294924737635
8,0,800000,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0008_iter0000_d000008.csv,uniform,uniform,0.5810579030134467,1.3554685752251112,0.8152125934854355,1.3035655726180848,0.25,0.25,0.28362421977093,0.173752107610214,0.044354855972856204,0.26521598448312417,0.17742732592628996,0.04568899025986493,0.2961222140662848,0.17375583280305806,0.045950214703789787,0.29460777188552734,0.17685672643568362,0.04714751193390526,0.255241833479467,0.17163335203381702,0.04331979302226116,0.25795943471540345,0.17504031998135458,0.04437782805552744,0.8244872155609758,0.21215346640862537,0.06375953792290383,17.88888888888889,0.0,17.88888888888889,0.0,0.8244872155609758,0.21215346640862537,0.8244872155609758,0.21215346640862537,0.26521598448312417,0.17742732592628996,0.29460777188552734,0.17685672643568362,0.25795943471540345,0.17504031998135458,0.0,0.0,0.0,0.26521598448312417,0.17742732592628996,0.29460777188552734,0.17685672643568362,0.25795943471540345,0.17504031998135458,2036.402174851967
9,0,900000,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0009_iter0000_d000009.csv,uniform,uniform,0.7915012152990735,1.4659071312019991,1.06042610957375,1.4745854574833535,0.25,0.25,0.3242927451581519,0.2002396057541151,0.044735517719913076,0.30024624610329226,0.2064514843291185,0.045709072808819334,0.327632214184425,0.20172860885841637,0.0465299957907646,0.3263705273432582,0.2056312679207652,0.04735045773928481,0.27951931688757437,0.197084867505884,0.04393366829516415,0.27814288117059044,0.2013576566996254,0.044782709852235314,0.7789986015574292,0.21934932583909345,0.06064892288167541,16.111111111111114,0.0,16.111111111111114,0.0,0.7789986015574292,0.21934932583909345,0.7789986015574292,0.21934932583909345,0.30024624610329226,0.2064514843291185,0.3263705273432582,0.2056312679207652,0.27814288117059044,0.2013576566996254,0.0,0.0,0.0,0.30024624610329226,0.2064514843291185,0.3263705273432582,0.2056312679207652,0.27814288117059044,0.2013576566996254,2032.83107084884
