var_idx,n_iter,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,best_csv,best_iter
293,6,2029.7188651018143,2037.6492290206838,2038.1610118490803,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0293_iter0000_d000293.csv,0
201,6,2030.0881243037477,2035.9414586430078,2038.1989078438767,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0501_iter0000_d000501.csv,0
220,6,2030.6352606497196,2042.5024468815466,2043.354968430623,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0520_iter0000_d001420.csv,0
116,6,2031.6119835007123,2035.514170689786,2036.4294300347995,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0416_iter0000_d001616.csv,0
265,6,2031.6391798678098,2044.3605524113032,2045.25042358527,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0565_iter0000_d000865.csv,0
126,6,2031.9392124670856,2039.9615865607698,2041.7508124786157,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0426_iter0000_d001326.csv,0
259,6,2032.1787609174996,2038.4932195060142,2039.8133272886082,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0559_iter0000_d001159.csv,0
100,6,2032.2284865178287,2035.4886118210889,2036.3582601506832,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0400_iter0000_d000700.csv,0
48,6,2032.4338734624055,2039.4206898396733,2039.8390418490803,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0348_iter0000_d000648.csv,0
285,6,2032.5299985186623,2042.1557328680685,2043.489369366211,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0285_iter0000_d000285.csv,0
283,6,2032.6670171164715,2044.6918211017723,2046.8718974948404,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0583_iter0000_d001183.csv,0
161,6,2032.685665113062,2039.8784227819506,2039.9417373120814,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0161_iter0000_d000161.csv,0
226,6,2032.7201524634363,2041.6934792609782,2043.5110740695602,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0526_iter0000_d000826.csv,0
177,6,2032.7251319747093,2037.1914995314469,2038.054011829451,design_optimisation\optim_out_v3_1\candidate_bank\designs\var0477_iter0000_d001377.csv,0
