trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
0,1,20,Congruent,20_0.633_0.755.png,4.2930121421813965,0.635,0.752,11.718567848205566,0.0,1.0,3.3418350219726562,hidden,4.341835021972656,3.0,3.37673282623291,fixation,1.0
1,1,3,Incongruent,3_0.408_0.429.png,3.5189208984375,0.414,0.435,11.876362562179565,16.011579513549805,1.0,3.621948003768921,hidden,20.633527755737305,3.0,3.2544145584106445,fixation,1.0
2,1,2,Incongruent,2_0.939_0.061.png,4.129770278930664,0.936,0.065,11.95404601097107,31.406864166259766,1.0,3.602555274963379,hidden,36.00941848754883,3.0,3.3514907360076904,fixation,1.0
3,1,1,Medium,1_0.673_0.327.png,4.018200397491455,0.665,0.336,11.898361682891846,47.49068069458008,1.0,3.2848076820373535,hidden,51.77548599243164,3.0,3.613554000854492,fixation,1.0
4,1,9,Medium,9_0.204_0.000.png,3.5306179523468018,0.214,0.0,11.730330467224121,63.40724182128906,1.0,3.377915382385254,hidden,67.78515625,3.0,3.352415084838867,fixation,1.0
5,1,20,Congruent,20_1.000_0.837.png,4.313904285430908,1.0,0.834,11.639891862869263,78.6681900024414,1.0,3.405634641647339,hidden,83.07382202148438,3.0,3.234257221221924,fixation,1.0
6,1,3,Incongruent,3_0.449_0.388.png,3.782709836959839,0.457,0.389,11.936523914337158,94.62198638916016,1.0,3.386955499649048,hidden,99.00894165039062,3.0,3.5495684146881104,fixation,1.0
7,1,2,Incongruent,2_0.612_0.204.png,3.8414111137390137,0.613,0.206,11.889608144760132,110.34121704101562,1.0,3.5564167499542236,hidden,114.89763641357422,3.0,3.333191394805908,fixation,1.0
8,1,11,Congruent,11_0.327_0.980.png,4.1811089515686035,0.322,0.979,11.770472526550293,126.0722427368164,1.0,3.4420785903930664,hidden,130.51431274414062,3.0,3.3283939361572266,fixation,1.0
9,1,22,Congruent,13b_0.755_0.673.png,3.677828788757324,0.751,0.683,11.774457216262817,142.02381896972656,1.0,3.5387847423553467,hidden,146.56260681152344,3.0,3.2356724739074707,fixation,1.0
10,1,1,Medium,1_0.939_0.347.png,3.512838125228882,0.944,0.345,11.820160627365112,157.47610473632812,1.0,3.2225959300994873,hidden,161.69869995117188,3.0,3.597564697265625,fixation,1.0
11,1,18,Incongruent,18_0.347_0.041.png,3.666107654571533,0.34,0.045,11.89405632019043,172.80911254882812,1.0,3.268993616104126,hidden,177.07809448242188,3.0,3.6250627040863037,fixation,1.0
12,1,22,Congruent,13b_0.694_0.612.png,4.440685749053955,0.689,0.604,12.062499761581421,188.3692626953125,1.0,3.591252088546753,hidden,192.9605255126953,3.0,3.471247673034668,fixation,1.0
13,1,8,Medium,8_0.878_0.939.png,4.568490505218506,0.887,0.948,11.784197092056274,204.87245178222656,1.0,3.2432875633239746,hidden,209.11573791503906,3.0,3.5409095287323,fixation,1.0
14,1,1,Medium,1_0.714_0.551.png,4.060221195220947,0.717,0.552,11.81023120880127,221.2251434326172,1.0,3.3047232627868652,hidden,225.5298614501953,3.0,3.5055079460144043,fixation,1.0
15,1,3,Incongruent,3_0.408_0.245.png,4.364591598510742,0.415,0.25,11.541926860809326,237.09559631347656,1.0,3.281757354736328,hidden,241.37734985351562,3.0,3.260169506072998,fixation,1.0
16,1,18,Incongruent,18_0.224_0.551.png,3.610189199447632,0.218,0.554,11.6071195602417,253.0021209716797,1.0,3.330409049987793,hidden,257.33251953125,3.0,3.2767105102539062,fixation,1.0
17,1,11,Congruent,11_0.612_0.755.png,4.485595703125,0.615,0.751,11.9431893825531,268.21942138671875,1.0,3.3504204750061035,hidden,272.5698547363281,3.0,3.592768907546997,fixation,1.0
