trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
0,1,20,Congruent,20_0.633_0.755.png,1.483731985092163,0.635,0.752,7.613786339759827,0.0,1.0,1.2677465677261353,hidden,2.2677464485168457,3.0,1.3460397720336914,fixation,1.0
1,1,3,Incongruent,3_0.408_0.429.png,1.2273938655853271,0.414,0.435,7.779191851615906,9.097517967224121,1.0,1.4330418109893799,hidden,11.530560493469238,3.0,1.3461500406265259,fixation,1.0
2,1,2,Incongruent,2_0.939_0.061.png,1.289270043373108,0.936,0.065,7.629265666007996,18.104103088378906,1.0,1.3748586177825928,hidden,20.478961944580078,3.0,1.2544070482254028,fixation,1.0
3,1,1,Medium,1_0.673_0.327.png,1.1376073360443115,0.665,0.336,7.433265924453735,27.022640228271484,1.0,1.184739589691162,hidden,29.207378387451172,3.0,1.2485263347625732,fixation,1.0
4,1,9,Medium,9_0.204_0.000.png,1.465277075767517,0.214,0.0,7.331012010574341,35.59351348876953,1.0,1.0627089738845825,hidden,37.65622329711914,3.0,1.2683030366897583,fixation,1.0
5,1,20,Congruent,20_1.000_0.837.png,1.4422940015792847,1.0,0.834,7.7224708795547485,44.389801025390625,1.0,1.2708640098571777,hidden,46.660667419433594,3.0,1.4516068696975708,fixation,1.0
6,1,3,Incongruent,3_0.449_0.388.png,1.2405369281768799,0.457,0.389,7.206407785415649,53.5545654296875,1.0,1.0958112478256226,hidden,55.6503791809082,3.0,1.1105965375900269,fixation,1.0
7,1,2,Incongruent,2_0.612_0.204.png,1.2581989765167236,0.613,0.206,7.309571146965027,62.00151062011719,1.0,1.109316349029541,hidden,64.11082458496094,3.0,1.2002547979354858,fixation,1.0
8,1,11,Congruent,11_0.327_0.980.png,1.2444318532943726,0.322,0.979,7.166068077087402,70.56928253173828,1.0,1.0976512432098389,hidden,72.66693115234375,3.0,1.0684168338775635,fixation,1.0
9,1,22,Congruent,13b_0.755_0.673.png,1.1656705141067505,0.751,0.683,7.641329050064087,78.97978210449219,1.0,1.2892661094665527,hidden,81.26905059814453,3.0,1.3520629405975342,fixation,1.0
10,1,1,Medium,1_0.939_0.347.png,1.4670647382736206,0.944,0.345,7.744575619697571,87.78678131103516,1.0,1.3370916843414307,hidden,90.12387084960938,3.0,1.4074839353561401,fixation,1.0
11,1,18,Incongruent,18_0.347_0.041.png,1.345990777015686,0.34,0.045,7.625901460647583,96.99842071533203,1.0,1.3171182870864868,hidden,99.31553649902344,3.0,1.3087831735610962,fixation,1.0
12,1,22,Congruent,13b_0.694_0.612.png,1.1552866697311401,0.689,0.604,7.6420992612838745,105.9703140258789,1.0,1.1832019090652466,hidden,108.15351867675781,3.0,1.458897352218628,fixation,1.0
13,1,8,Medium,8_0.878_0.939.png,1.2196018695831299,0.887,0.948,7.3300158977508545,114.7677001953125,1.0,1.0794751644134521,hidden,116.84717559814453,3.0,1.2505407333374023,fixation,1.0
