rank_stage1,var_idx,best_iter,stage1_obj,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,csv
0,35,0,1008.7165863765448,1008.7165863765448,1008.7165863765448,1008.7165863765448,design_optimisation\optim_out_v3_3\designs\cand_rank0000.csv
1,539,0,1010.2647809253526,1010.2647809253526,1010.2647809253526,1010.2647809253526,design_optimisation\optim_out_v3_3\designs\cand_rank0001.csv
2,430,0,1010.4349810692216,1010.4349810692216,1010.4349810692216,1010.4349810692216,design_optimisation\optim_out_v3_3\designs\cand_rank0002.csv
3,76,0,1010.4938450263504,1010.4938450263504,1010.4938450263504,1010.4938450263504,design_optimisation\optim_out_v3_3\designs\cand_rank0003.csv
4,654,0,1011.0829136425134,1011.0829136425134,1011.0829136425134,1011.0829136425134,design_optimisation\optim_out_v3_3\designs\cand_rank0004.csv
5,211,0,1011.2754402315738,1011.2754402315738,1011.2754402315738,1011.2754402315738,design_optimisation\optim_out_v3_3\designs\cand_rank0005.csv
6,474,0,1011.3589149248235,1011.3589149248235,1011.3589149248235,1011.3589149248235,design_optimisation\optim_out_v3_3\designs\cand_rank0006.csv
7,438,0,1011.3668020569884,1011.3668020569884,1011.3668020569884,1011.3668020569884,design_optimisation\optim_out_v3_3\designs\cand_rank0007.csv
8,644,0,1012.0080708673379,1012.0080708673379,1012.0080708673379,1012.0080708673379,design_optimisation\optim_out_v3_3\designs\cand_rank0008.csv
9,333,0,1012.0601082702225,1012.0601082702225,1012.0601082702225,1012.0601082702225,design_optimisation\optim_out_v3_3\designs\cand_rank0009.csv
10,311,0,1012.076774112366,1012.076774112366,1012.076774112366,1012.076774112366,design_optimisation\optim_out_v3_3\designs\cand_rank0010.csv
11,621,0,1012.1046452271481,1012.1046452271481,1012.1046452271481,1012.1046452271481,design_optimisation\optim_out_v3_3\designs\cand_rank0011.csv
12,230,0,1012.1167307053282,1012.1167307053282,1012.1167307053282,1012.1167307053282,design_optimisation\optim_out_v3_3\designs\cand_rank0012.csv
13,336,0,1012.1314033742866,1012.1314033742866,1012.1314033742866,1012.1314033742866,design_optimisation\optim_out_v3_3\designs\cand_rank0013.csv
14,164,0,1012.1314833455995,1012.1314833455995,1012.1314833455995,1012.1314833455995,design_optimisation\optim_out_v3_3\designs\cand_rank0014.csv
15,103,0,1012.1369626010354,1012.1369626010354,1012.1369626010354,1012.1369626010354,design_optimisation\optim_out_v3_3\designs\cand_rank0015.csv
16,631,0,1012.1686859894787,1012.1686859894787,1012.1686859894787,1012.1686859894787,design_optimisation\optim_out_v3_3\designs\cand_rank0016.csv
17,145,0,1012.2332843909192,1012.2332843909192,1012.2332843909192,1012.2332843909192,design_optimisation\optim_out_v3_3\designs\cand_rank0017.csv
18,594,0,1012.2462175872492,1012.2462175872492,1012.2462175872492,1012.2462175872492,design_optimisation\optim_out_v3_3\designs\cand_rank0018.csv
19,138,0,1012.2584780615365,1012.2584780615365,1012.2584780615365,1012.2584780615365,design_optimisation\optim_out_v3_3\designs\cand_rank0019.csv
20,39,0,1012.2612061257621,1012.2612061257621,1012.2612061257621,1012.2612061257621,design_optimisation\optim_out_v3_3\designs\cand_rank0020.csv
21,92,0,1012.2653158553239,1012.2653158553239,1012.2653158553239,1012.2653158553239,design_optimisation\optim_out_v3_3\designs\cand_rank0021.csv
22,96,0,1012.2656666403059,1012.2656666403059,1012.2656666403059,1012.2656666403059,design_optimisation\optim_out_v3_3\designs\cand_rank0022.csv
