var_idx,n_iter,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,best_csv,best_iter,best_stage1_obj
35,1,1008.7165863765448,1008.7165863765448,1008.7165863765448,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0035_iter0000_d000035.csv,0,1008.7165863765448
539,1,1010.2647809253526,1010.2647809253526,1010.2647809253526,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0539_iter0000_d000539.csv,0,1010.2647809253526
430,1,1010.4349810692216,1010.4349810692216,1010.4349810692216,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0430_iter0000_d000430.csv,0,1010.4349810692216
76,1,1010.4938450263504,1010.4938450263504,1010.4938450263504,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0076_iter0000_d000076.csv,0,1010.4938450263504
654,1,1011.0829136425134,1011.0829136425134,1011.0829136425134,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0654_iter0000_d000654.csv,0,1011.0829136425134
211,1,1011.2754402315738,1011.2754402315738,1011.2754402315738,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0211_iter0000_d000211.csv,0,1011.2754402315738
474,1,1011.3589149248235,1011.3589149248235,1011.3589149248235,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0474_iter0000_d000474.csv,0,1011.3589149248235
438,1,1011.3668020569884,1011.3668020569884,1011.3668020569884,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0438_iter0000_d000438.csv,0,1011.3668020569884
644,1,1012.0080708673379,1012.0080708673379,1012.0080708673379,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0644_iter0000_d000644.csv,0,1012.0080708673379
333,1,1012.0601082702225,1012.0601082702225,1012.0601082702225,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0333_iter0000_d000333.csv,0,1012.0601082702225
311,1,1012.076774112366,1012.076774112366,1012.076774112366,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0311_iter0000_d000311.csv,0,1012.076774112366
621,1,1012.1046452271481,1012.1046452271481,1012.1046452271481,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0621_iter0000_d000621.csv,0,1012.1046452271481
230,1,1012.1167307053282,1012.1167307053282,1012.1167307053282,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0230_iter0000_d000230.csv,0,1012.1167307053282
336,1,1012.1314033742866,1012.1314033742866,1012.1314033742866,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0336_iter0000_d000336.csv,0,1012.1314033742866
164,1,1012.1314833455995,1012.1314833455995,1012.1314833455995,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0164_iter0000_d000164.csv,0,1012.1314833455995
103,1,1012.1369626010354,1012.1369626010354,1012.1369626010354,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0103_iter0000_d000103.csv,0,1012.1369626010354
631,1,1012.1686859894787,1012.1686859894787,1012.1686859894787,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0631_iter0000_d000631.csv,0,1012.1686859894787
145,1,1012.2332843909192,1012.2332843909192,1012.2332843909192,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0145_iter0000_d000145.csv,0,1012.2332843909192
594,1,1012.2462175872492,1012.2462175872492,1012.2462175872492,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0594_iter0000_d000594.csv,0,1012.2462175872492
138,1,1012.2584780615365,1012.2584780615365,1012.2584780615365,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0138_iter0000_d000138.csv,0,1012.2584780615365
39,1,1012.2612061257621,1012.2612061257621,1012.2612061257621,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0039_iter0000_d000039.csv,0,1012.2612061257621
92,1,1012.2653158553239,1012.2653158553239,1012.2653158553239,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0092_iter0000_d000092.csv,0,1012.2653158553239
96,1,1012.2656666403059,1012.2656666403059,1012.2656666403059,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0096_iter0000_d000096.csv,0,1012.2656666403059
64,1,1012.2662333049827,1012.2662333049827,1012.2662333049827,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0064_iter0000_d000064.csv,0,1012.2662333049827
28,1,1012.2676251006641,1012.2676251006641,1012.2676251006641,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0028_iter0000_d000028.csv,0,1012.2676251006641
78,1,1012.2703296444557,1012.2703296444557,1012.2703296444557,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0078_iter0000_d000078.csv,0,1012.2703296444557
354,1,1012.877721282157,1012.877721282157,1012.877721282157,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0354_iter0000_d000354.csv,0,1012.877721282157
665,1,1012.8918205981427,1012.8918205981427,1012.8918205981427,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0665_iter0000_d000665.csv,0,1012.8918205981427
328,1,1012.9078574920754,1012.9078574920754,1012.9078574920754,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0328_iter0000_d000328.csv,0,1012.9078574920754
610,1,1012.9517128690256,1012.9517128690256,1012.9517128690256,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0610_iter0000_d000610.csv,0,1012.9517128690256
386,1,1012.9587181281355,1012.9587181281355,1012.9587181281355,design_optimisation\optim_out_v3_3\candidate_bank\designs\var0386_iter0000_d000386.csv,0,1012.9587181281355
