trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,event_type,fix_dur,fix_kind,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
0,1,,Fixation,,2.8029372692108154,,,fixation,10.0,run_start,2.3573180437088013,0.0,0.0,0.8036584854125977,hidden,0.8036584854125977,0.0,1.5536595582962036,fixation,0.0
1,1,20.0,Medium,20_0.633_0.755.png,2.8029372692108154,0.635,0.752,,,,8.607319116592407,5.160255432128906,1.0,1.5536595582962036,hidden,7.71391487121582,3.5,1.5536595582962036,fixation,1.0
2,1,3.0,Incongruent,3_0.408_0.429.png,2.8029372692108154,0.414,0.435,,,,8.44942319393158,16.570510864257812,1.0,1.395763635635376,hidden,18.966276168823242,3.5,1.5536595582962036,fixation,1.0
3,1,2.0,Incongruent,2_0.939_0.061.png,2.280928373336792,0.936,0.065,,,,8.193152070045471,27.822872161865234,1.0,1.2498186826705933,hidden,30.072690963745117,3.5,1.443333387374878,fixation,1.0
4,1,1.0,Medium,1_0.673_0.327.png,2.3260045051574707,0.665,0.336,,,,8.28819477558136,38.29695129394531,1.0,1.5536595582962036,hidden,40.85061264038086,3.5,1.2345352172851562,fixation,1.0
5,1,9.0,Medium,9_0.204_0.000.png,2.8029372692108154,0.214,0.0,,,,8.607319116592407,48.91115188598633,1.0,1.5536595582962036,hidden,51.464813232421875,3.5,1.5536595582962036,fixation,1.0
6,1,20.0,Medium,20_1.000_0.837.png,1.9625760316848755,1.0,0.834,,,,7.963748633861542,60.321407318115234,1.0,0.9100890755653381,hidden,62.23149871826172,3.5,1.5536595582962036,fixation,1.0
7,1,3.0,Incongruent,3_0.449_0.388.png,2.6222007274627686,0.457,0.389,,,,8.14831256866455,70.24773406982422,1.0,1.0946530103683472,hidden,72.3423843383789,3.5,1.5536595582962036,fixation,1.0
8,1,2.0,Incongruent,2_0.612_0.204.png,2.3052453994750977,0.613,0.206,,,,7.919926226139069,81.01824951171875,1.0,0.866266667842865,hidden,82.88451385498047,3.5,1.5536595582962036,fixation,1.0
9,1,11.0,Congruent,11_0.327_0.980.png,2.8029372692108154,0.322,0.979,,,,7.746512234210968,91.24341583251953,1.0,0.850309431552887,hidden,93.0937271118164,3.5,1.396202802658081,fixation,1.0
10,1,22.0,Congruent,13b_0.755_0.673.png,2.8029372692108154,0.751,0.683,,,,7.935707092285156,101.7928695678711,1.0,1.0647141933441162,hidden,103.85758209228516,3.5,1.37099289894104,fixation,1.0
11,1,1.0,Medium,1_0.939_0.347.png,2.602325201034546,0.944,0.345,,,,7.911724150180817,112.53150939941406,1.0,0.858064591884613,hidden,114.38957977294922,3.5,1.5536595582962036,fixation,1.0
12,1,18.0,Incongruent,18_0.347_0.041.png,2.8029372692108154,0.34,0.045,,,,8.607319116592407,123.04556274414062,1.0,1.5536595582962036,hidden,125.5992202758789,3.5,1.5536595582962036,fixation,1.0
13,1,22.0,Congruent,13b_0.694_0.612.png,2.4781105518341064,0.689,0.604,,,,7.2714585065841675,134.455810546875,1.0,0.7833676338195801,hidden,136.2391815185547,3.5,0.9880908727645874,fixation,1.0
14,1,8.0,Congruent,8_0.878_0.939.png,2.8029372692108154,0.887,0.948,,,,8.607319116592407,144.20538330078125,1.0,1.5536595582962036,hidden,146.75904846191406,3.5,1.5536595582962036,fixation,1.0
15,1,1.0,Medium,1_0.714_0.551.png,2.236523151397705,0.717,0.552,,,,8.607319116592407,155.6156463623047,1.0,1.5536595582962036,hidden,158.16929626464844,3.5,1.5536595582962036,fixation,1.0
