trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,event_type,fix_dur,fix_kind,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
0,1,,Fixation,,0.8386960625648499,,,fixation,10.0,run_start,3.212796211242676,0.0,0.0,1.6508064270019531,hidden,1.6508064270019531,0.0,1.5619897842407227,fixation,0.0
1,1,20.0,Medium,20_0.633_0.755.png,0.9773576855659485,0.635,0.752,,,,8.50518262386322,4.051492214202881,1.0,1.5623010396957397,hidden,6.61379337310791,3.5,1.4428815841674805,fixation,1.0
2,1,3.0,Incongruent,3_0.408_0.429.png,0.734878420829773,0.414,0.435,,,,8.566152215003967,13.534032821655273,1.0,1.523962378501892,hidden,16.057994842529297,3.5,1.5421898365020752,fixation,1.0
3,1,2.0,Incongruent,2_0.939_0.061.png,0.963256299495697,0.936,0.065,,,,8.746599555015564,22.835063934326172,1.0,1.7521463632583618,hidden,25.587209701538086,3.5,1.4944531917572021,fixation,1.0
4,1,1.0,Medium,1_0.673_0.327.png,0.7523265480995178,0.665,0.336,,,,8.423852682113647,32.544918060302734,1.0,1.3923324346542358,hidden,34.937252044677734,3.5,1.5315202474594116,fixation,1.0
5,1,9.0,Medium,9_0.204_0.000.png,0.7304295897483826,0.214,0.0,,,,8.702366352081299,41.721099853515625,1.0,1.520861029624939,hidden,44.24195861816406,3.5,1.6815053224563599,fixation,1.0
6,1,20.0,Medium,20_1.000_0.837.png,0.9216458201408386,1.0,0.834,,,,8.62459647655487,51.153892517089844,1.0,1.6039236783981323,hidden,53.757816314697266,3.5,1.5206727981567383,fixation,1.0
7,1,3.0,Incongruent,3_0.449_0.388.png,1.1754190921783447,0.457,0.389,,,,8.514750719070435,60.700138092041016,1.0,1.4396661520004272,hidden,63.139801025390625,3.5,1.5750845670700073,fixation,1.0
8,1,2.0,Incongruent,2_0.612_0.204.png,0.7534852027893066,0.613,0.206,,,,8.514195322990417,70.39030456542969,1.0,1.6709731817245483,hidden,73.061279296875,3.5,1.3432221412658691,fixation,1.0
9,1,11.0,Congruent,11_0.327_0.980.png,0.8794610500335693,0.322,0.979,,,,8.482514500617981,79.65798950195312,1.0,1.5111669301986694,hidden,82.16915130615234,3.5,1.4713475704193115,fixation,1.0
10,1,22.0,Congruent,13b_0.755_0.673.png,0.7307314872741699,0.751,0.683,,,,8.744274616241455,89.01996612548828,1.0,1.6919447183609009,hidden,91.71190643310547,3.5,1.5523298978805542,fixation,1.0
11,1,1.0,Medium,1_0.939_0.347.png,0.9146666526794434,0.944,0.345,,,,8.769731998443604,98.4949722290039,1.0,1.649190902709961,hidden,101.14415740966797,3.5,1.6205410957336426,fixation,1.0
12,1,18.0,Incongruent,18_0.347_0.041.png,1.0006306171417236,0.34,0.045,,,,8.757591366767883,108.17936706542969,1.0,1.5851486921310425,hidden,110.76451873779297,3.5,1.6724426746368408,fixation,1.0
13,1,22.0,Congruent,13b_0.694_0.612.png,0.8960373997688293,0.689,0.604,,,,8.459665417671204,117.93759155273438,1.0,1.4795020818710327,hidden,120.4170913696289,3.5,1.480163335800171,fixation,1.0
14,1,8.0,Congruent,8_0.878_0.939.png,1.0728424787521362,0.887,0.948,,,,8.467537641525269,127.29328918457031,1.0,1.6133431196212769,hidden,129.90663146972656,3.5,1.3541945219039917,fixation,1.0
15,1,1.0,Medium,1_0.714_0.551.png,0.7631857395172119,0.717,0.552,,,,8.53602159023285,136.83367919921875,1.0,1.4974541664123535,hidden,139.3311309814453,3.5,1.5385674238204956,fixation,1.0
16,1,3.0,Incongruent,3_0.408_0.245.png,1.1266305446624756,0.415,0.25,,,,8.586474418640137,146.13287353515625,1.0,1.6843552589416504,hidden,148.81723022460938,3.5,1.4021191596984863,fixation,1.0
17,1,18.0,Incongruent,18_0.224_0.551.png,1.106541395187378,0.218,0.554,,,,8.222317099571228,155.84597778320312,1.0,1.3418986797332764,hidden,158.18788146972656,3.5,1.3804184198379517,fixation,1.0
18,1,11.0,Congruent,11_0.612_0.755.png,0.8098190426826477,0.615,0.751,,,,8.553996801376343,165.1748504638672,1.0,1.6959125995635986,hidden,167.87075805664062,3.5,1.3580842018127441,fixation,1.0
19,1,9.0,Medium,9_0.408_0.204.png,0.7468862533569336,0.405,0.202,,,,8.54061245918274,174.53866577148438,1.0,1.5178728103637695,hidden,177.05653381347656,3.5,1.5227396488189697,fixation,1.0
20,1,8.0,Congruent,8_0.796_0.367.png,1.1010711193084717,0.79,0.362,,,,8.511694073677063,183.82615661621094,1.0,1.491363286972046,hidden,186.31752014160156,3.5,1.520330786705017,fixation,1.0
21,1,18.0,Incongruent,18_0.367_0.612.png,0.7525544166564941,0.367,0.622,,,,8.686315298080444,193.4389190673828,1.0,1.5679006576538086,hidden,196.00682067871094,3.5,1.6184146404266357,fixation,1.0
