var_idx,iter_idx,seed,csv,isi_dist,iti_dist,isi_lo,isi_hi,iti_lo,iti_hi,isi_shape,iti_shape
0,0,0,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0000_iter0000_d000000.csv,uniform,uniform,0.8821770123928727,1.340942760401628,1.0040973523936194,1.4056823963994785,0.25,0.25
1,0,100000,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0001_iter0000_d000001.csv,uniform,uniform,0.9879621435201635,1.4902253218883752,1.0606635775767181,1.489359362455916,0.25,0.25
2,0,200000,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0002_iter0000_d000002.csv,uniform,uniform,0.8261749948792538,1.4822212061112081,1.0815853554121533,1.4816357839194905,0.25,0.25
3,0,300000,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0003_iter0000_d000003.csv,uniform,uniform,1.0144425659525416,1.4173160615966847,1.0729655446429944,1.4777142986763816,0.25,0.25
4,0,400000,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0004_iter0000_d000004.csv,uniform,uniform,1.017907353409932,1.4623573380060677,1.0299711890537384,1.45957147255639,0.25,0.25
5,0,500000,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0005_iter0000_d000005.csv,uniform,uniform,0.5169918026872777,0.9894499716754072,1.067062441469363,1.4883792838872543,0.25,0.25
6,0,600000,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0006_iter0000_d000006.csv,uniform,uniform,0.8692310668887524,1.3577719267445,1.0997209935789212,1.4999946529364607,0.25,0.25
7,0,700000,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0007_iter0000_d000007.csv,uniform,uniform,0.9113251906884169,1.4340504706031976,1.068844673057094,1.4809616471762634,0.25,0.25
8,0,800000,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0008_iter0000_d000008.csv,uniform,uniform,0.5810579030134467,1.3554685752251112,1.0525354322475726,1.4672609287696807,0.25,0.25
9,0,900000,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0009_iter0000_d000009.csv,uniform,uniform,0.7915012152990735,1.4659071312019991,1.093404351595625,1.4957642429138922,0.25,0.25
10,0,1000000,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0010_iter0000_d000010.csv,uniform,uniform,0.8429178984378567,1.3256647579241874,1.0594300030199697,1.4731390604183126,0.25,0.25
11,0,1100000,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0011_iter0000_d000011.csv,uniform,uniform,0.7349714003168968,1.4599470003629882,1.022715759353338,1.4708783046111604,0.25,0.25
12,0,1200000,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0012_iter0000_d000012.csv,uniform,uniform,0.5504092061494309,1.4080227642532923,1.0787098307488685,1.4838060467037377,0.25,0.25
13,0,1300000,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0013_iter0000_d000013.csv,uniform,uniform,1.0258905384864225,1.4302309840077438,1.033611706054566,1.4435885034767435,0.25,0.25
14,0,1400000,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0014_iter0000_d000014.csv,uniform,uniform,0.7702036199895722,1.4328284816447674,1.0230642208993748,1.4270665202265935,0.25,0.25
15,0,1500000,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0015_iter0000_d000015.csv,uniform,uniform,0.742731103892917,1.2136536401675948,1.0090753045619123,1.4618418500106254,0.25,0.25
16,0,1600000,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0016_iter0000_d000016.csv,uniform,uniform,0.6792176796913536,1.3619812436733563,1.0199515443968215,1.4953662438963733,0.25,0.25
17,0,1700000,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0017_iter0000_d000017.csv,uniform,uniform,0.7190661009468972,1.159252829125282,1.062910815153971,1.4972982217535424,0.25,0.25
18,0,1800000,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0018_iter0000_d000018.csv,uniform,uniform,0.7642262928294704,1.4847526817257553,1.0499895813687647,1.4712554429114515,0.25,0.25
19,0,1900000,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0019_iter0000_d000019.csv,uniform,uniform,0.8721280712092268,1.498882631190158,1.0948943674937766,1.4972431889113633,0.25,0.25
20,0,2000000,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0020_iter0000_d000020.csv,uniform,uniform,0.954637307184975,1.4269440096683634,1.052931216019677,1.489917193421402,0.25,0.25
