trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,event_type,fix_dur,fix_kind,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
0,1,,Fixation,,1.3288987874984741,,,fixation,10.0,run_start,3.6447478532791138,0.0,0.0,1.9202226400375366,hidden,1.9202226400375366,0.0,1.7245252132415771,fixation,0.0
1,1,20.0,Medium,20_0.633_0.755.png,0.992429256439209,0.635,0.752,,,,9.00265347957611,4.973646640777588,1.0,1.8305445909500122,hidden,7.8041911125183105,3.5,1.6721088886260986,fixation,1.0
2,1,3.0,Incongruent,3_0.408_0.429.png,1.407189130783081,0.414,0.435,,,,9.026906490325928,14.968729019165039,1.0,1.820346713066101,hidden,17.78907585144043,3.5,1.7065597772598267,fixation,1.0
3,1,2.0,Incongruent,2_0.939_0.061.png,1.0140306949615479,0.936,0.065,,,,8.714088797569275,25.40282440185547,1.0,1.6115317344665527,hidden,28.01435661315918,3.5,1.6025570631027222,fixation,1.0
4,1,1.0,Medium,1_0.673_0.327.png,1.3149750232696533,0.665,0.336,,,,9.231540441513062,35.130943298339844,1.0,1.9418244361877441,hidden,38.07276916503906,3.5,1.7897160053253174,fixation,1.0
5,1,9.0,Medium,9_0.204_0.000.png,1.1468749046325684,0.214,0.0,,,,9.171820759773254,45.677459716796875,1.0,1.709571123123169,hidden,48.38703155517578,3.5,1.9622496366500854,fixation,1.0
6,1,20.0,Medium,20_1.000_0.837.png,1.2798664569854736,1.0,0.834,,,,8.994163632392883,55.99615478515625,1.0,1.6537619829177856,hidden,58.64991760253906,3.5,1.8404016494750977,fixation,1.0
7,1,3.0,Incongruent,3_0.449_0.388.png,1.015558123588562,0.457,0.389,,,,8.80126178264618,66.27018737792969,1.0,1.539034128189087,hidden,68.80921936035156,3.5,1.7622276544570923,fixation,1.0
8,1,2.0,Incongruent,2_0.612_0.204.png,1.3971476554870605,0.613,0.206,,,,9.15211796760559,76.08700561523438,1.0,1.944460391998291,hidden,79.03146362304688,3.5,1.7076575756072998,fixation,1.0
9,1,11.0,Congruent,11_0.327_0.980.png,1.4192564487457275,0.322,0.979,,,,9.192854881286621,86.63626861572266,1.0,1.7890398502349854,hidden,89.42530822753906,3.5,1.9038150310516357,fixation,1.0
10,1,22.0,Congruent,13b_0.755_0.673.png,1.1630877256393433,0.751,0.683,,,,8.922931671142578,97.24838256835938,1.0,1.7027353048324585,hidden,99.95111846923828,3.5,1.7201963663101196,fixation,1.0
11,1,1.0,Medium,1_0.939_0.347.png,1.0276411771774292,0.944,0.345,,,,8.987878680229187,107.33440399169922,1.0,1.5398765802383423,hidden,109.87427520751953,3.5,1.9480020999908447,fixation,1.0
12,1,18.0,Incongruent,18_0.347_0.041.png,1.3337615728378296,0.34,0.045,,,,8.959754228591919,117.34992218017578,1.0,1.7309715747833252,hidden,120.08089447021484,3.5,1.7287826538085938,fixation,1.0
