var_idx,n_iter,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,best_csv,best_iter,best_stage1_obj
385,1,1008.7147265720367,1008.7147265720367,1008.7147265720367,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0385_iter0000_d000385.csv,0,1008.7147265720367
170,1,1009.6007609733908,1009.6007609733908,1009.6007609733908,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0170_iter0000_d000170.csv,0,1009.6007609733908
1235,1,1009.6194418367279,1009.6194418367279,1009.6194418367279,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1235_iter0000_d001235.csv,0,1009.6194418367279
1879,1,1009.6259142539164,1009.6259142539164,1009.6259142539164,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1879_iter0000_d001879.csv,0,1009.6259142539164
1898,1,1009.6270376948358,1009.6270376948358,1009.6270376948358,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1898_iter0000_d001898.csv,0,1009.6270376948358
1887,1,1009.628677138059,1009.628677138059,1009.628677138059,design_optimisation\optim_out_v5_2\candidate_bank\designs\var1887_iter0000_d001887.csv,0,1009.628677138059
819,1,1010.4241544745385,1010.4241544745385,1010.4241544745385,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0819_iter0000_d000819.csv,0,1010.4241544745385
932,1,1010.4246074002662,1010.4246074002662,1010.4246074002662,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0932_iter0000_d000932.csv,0,1010.4246074002662
974,1,1010.4257816677047,1010.4257816677047,1010.4257816677047,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0974_iter0000_d000974.csv,0,1010.4257816677047
806,1,1010.4262865106022,1010.4262865106022,1010.4262865106022,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0806_iter0000_d000806.csv,0,1010.4262865106022
961,1,1010.4499725748964,1010.4499725748964,1010.4499725748964,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0961_iter0000_d000961.csv,0,1010.4499725748964
4,1,1010.4834153521731,1010.4834153521731,1010.4834153521731,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0004_iter0000_d000004.csv,0,1010.4834153521731
341,1,1010.4844989232728,1010.4844989232728,1010.4844989232728,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0341_iter0000_d000341.csv,0,1010.4844989232728
175,1,1010.4851405480418,1010.4851405480418,1010.4851405480418,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0175_iter0000_d000175.csv,0,1010.4851405480418
256,1,1010.4871229744516,1010.4871229744516,1010.4871229744516,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0256_iter0000_d000256.csv,0,1010.4871229744516
772,1,1010.4908560044765,1010.4908560044765,1010.4908560044765,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0772_iter0000_d000772.csv,0,1010.4908560044765
957,1,1010.5023230070979,1010.5023230070979,1010.5023230070979,design_optimisation\optim_out_v5_2\candidate_bank\designs\var0957_iter0000_d000957.csv,0,1010.5023230070979
