trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,event_type,fix_dur,fix_kind,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
0,1,,Fixation,,1.0217584371566772,,,fixation,10.0,run_start,1.7229108214378357,0.0,0.0,1.0741426944732666,hidden,1.0741426944732666,0.0,0.6487681269645691,fixation,0.0
1,1,1.0,Medium,1_0.857_0.184.png,1.4205567836761475,0.849,0.192,,,,7.774358093738556,2.744669198989868,1.0,0.8398911356925964,hidden,4.584560394287109,3.5,1.4344669580459595,fixation,1.0
2,1,9.0,Medium,9_0.082_0.449.png,1.0405088663101196,0.089,0.445,,,,7.692868649959564,11.939583778381348,1.0,0.9660703539848328,hidden,13.905654907226562,3.5,1.2267982959747314,fixation,1.0
3,1,11.0,Congruent,11_0.286_0.510.png,1.1988351345062256,0.291,0.517,,,,8.290809154510498,20.672962188720703,1.0,1.4096627235412598,hidden,23.082624435424805,3.5,1.3811464309692383,fixation,1.0
4,1,18.0,Incongruent,18_0.408_0.041.png,1.203887701034546,0.412,0.035,,,,7.872934460639954,30.16260528564453,1.0,1.2434662580490112,hidden,32.406070709228516,3.5,1.1294682025909424,fixation,1.0
5,1,3.0,Congruent,3_0.041_0.204.png,1.4209344387054443,0.031,0.194,,,,8.394845604896545,39.23942947387695,1.0,1.46632981300354,hidden,41.70575714111328,3.5,1.4285157918930054,fixation,1.0
6,1,20.0,Medium,20_0.633_0.918.png,1.2750271558761597,0.628,0.909,,,,7.98861038684845,49.055206298828125,1.0,1.1098581552505493,hidden,51.16506576538086,3.5,1.3787522315979004,fixation,1.0
7,1,2.0,Incongruent,2_0.633_0.327.png,1.494848370552063,0.637,0.322,,,,7.9178348779678345,58.318843841552734,1.0,1.412124752998352,hidden,60.73097229003906,3.5,1.0057101249694824,fixation,1.0
8,1,1.0,Medium,1_0.755_0.449.png,1.2882579565048218,0.747,0.459,,,,7.5513447523117065,67.73152923583984,1.0,0.552824854850769,hidden,69.28435516357422,3.5,1.4985198974609375,fixation,1.0
9,1,20.0,Medium,20_0.449_0.714.png,1.33748459815979,0.44,0.705,,,,7.293935418128967,76.57112884521484,1.0,0.9560509920120239,hidden,78.52718353271484,3.5,0.8378844261169434,fixation,1.0
10,1,2.0,Incongruent,2_0.388_0.000.png,1.2234116792678833,0.387,0.0,,,,7.423429250717163,85.20255279541016,1.0,0.9142417907714844,hidden,87.11679077148438,3.5,1.0091874599456787,fixation,1.0
11,1,8.0,Incongruent,8_0.286_0.429.png,1.4758217334747314,0.282,0.424,,,,7.884322166442871,93.84939575195312,1.0,1.1511942148208618,hidden,96.0005874633789,3.5,1.2331279516220093,fixation,1.0
12,1,18.0,Incongruent,18_0.367_0.204.png,1.2849271297454834,0.36,0.201,,,,8.048781991004944,103.20953369140625,1.0,1.3666229248046875,hidden,105.57615661621094,3.5,1.1821590662002563,fixation,1.0
13,1,22.0,Congruent,13b_0.510_0.388.png,1.141432762145996,0.517,0.398,,,,7.250557482242584,112.54324340820312,1.0,0.5512203574180603,hidden,114.09446716308594,3.5,1.199337124824524,fixation,1.0
14,1,11.0,Congruent,11_0.245_0.816.png,1.1552345752716064,0.245,0.82,,,,7.250935852527618,120.93523406982422,1.0,0.8674085736274719,hidden,122.80264282226562,3.5,0.8835272789001465,fixation,1.0
15,1,22.0,Congruent,13b_0.776_0.735.png,1.2791796922683716,0.78,0.737,,,,7.388991892337799,129.34140014648438,1.0,1.2228007316589355,hidden,131.564208984375,3.5,0.6661911606788635,fixation,1.0
16,1,9.0,Medium,9_0.449_0.571.png,1.1552096605300903,0.447,0.577,,,,7.634112775325775,138.00958251953125,1.0,1.2754793167114258,hidden,140.28506469726562,3.5,0.8586334586143494,fixation,1.0
17,1,8.0,Incongruent,8_0.449_0.612.png,1.1400425434112549,0.457,0.622,,,,7.554935336112976,146.7989044189453,1.0,0.61263108253479,hidden,148.41152954101562,3.5,1.442304253578186,fixation,1.0
18,1,1.0,Medium,1_0.714_0.020.png,1.488953948020935,0.72,0.029,,,,7.459977686405182,155.49388122558594,1.0,0.8219097256660461,hidden,157.31578063964844,3.5,1.1380679607391357,fixation,1.0
19,1,18.0,Incongruent,18_0.490_0.000.png,1.0249619483947754,0.493,0.0,,,,6.916643559932709,164.44281005859375,1.0,0.815766453742981,hidden,166.25857543945312,3.5,0.6008771061897278,fixation,1.0
20,1,2.0,Incongruent,2_0.714_0.143.png,1.411383867263794,0.715,0.152,,,,7.414267897605896,172.38441467285156,1.0,1.262874722480774,hidden,174.6472930908203,3.5,0.6513931751251221,fixation,1.0
21,1,8.0,Incongruent,8_0.163_0.592.png,1.2870240211486816,0.17,0.584,,,,6.864499449729919,181.21006774902344,1.0,0.6457902789115906,hidden,182.85585021972656,3.5,0.7187091708183289,fixation,1.0
22,1,3.0,Congruent,3_0.551_0.612.png,1.2809066772460938,0.542,0.611,,,,7.45778876543045,189.36158752441406,1.0,1.2331598997116089,hidden,191.59475708007812,3.5,0.7246288657188416,fixation,1.0
23,1,9.0,Medium,9_0.327_0.000.png,1.2021898031234741,0.328,0.0,,,,8.328330755233765,198.10028076171875,1.0,1.3771827220916748,hidden,200.4774627685547,3.5,1.4511480331420898,fixation,1.0
24,1,20.0,Medium,20_0.490_0.735.png,1.358358383178711,0.499,0.73,,,,7.503500878810883,207.6308135986328,1.0,0.8410385251045227,hidden,209.4718475341797,3.5,1.1624623537063599,fixation,1.0
25,1,11.0,Congruent,11_0.490_0.449.png,1.3435072898864746,0.485,0.455,,,,7.254078209400177,216.49266052246094,1.0,0.7996142506599426,hidden,218.2922821044922,3.5,0.9544639587402344,fixation,1.0
26,1,3.0,Congruent,3_0.612_0.000.png,1.3558735847473145,0.622,0.0,,,,7.737029850482941,225.0902557373047,1.0,1.2380808591842651,hidden,227.32833862304688,3.5,0.9989489912986755,fixation,1.0
27,1,22.0,Congruent,13b_1.000_0.735.png,1.009769320487976,1.0,0.729,,,,8.20186471939087,234.1831512451172,1.0,1.4651674032211304,hidden,236.6483154296875,3.5,1.2366973161697388,fixation,1.0
28,1,,Fixation,,1.4740526676177979,,,fixation,5.0,run_end,2.434765338897705,243.39479064941406,0.0,1.290372610092163,hidden,244.68516540527344,0.0,1.144392728805542,fixation,0.0
29,2,,Fixation,,1.3879015445709229,,,fixation,10.0,run_start,1.0424864888191223,0.0,0.0,0.5379500985145569,hidden,0.5379500985145569,0.0,0.5045363903045654,fixation,0.0
30,2,11.0,Congruent,11_0.286_0.306.png,1.2963242530822754,0.282,0.309,,,,7.627095937728882,2.4303879737854004,1.0,1.377051591873169,hidden,4.807439804077148,3.5,0.7500443458557129,fixation,1.0
31,2,8.0,Incongruent,8_0.388_0.653.png,1.1674648523330688,0.385,0.658,,,,7.869304537773132,11.353808403015137,1.0,1.091455340385437,hidden,13.445263862609863,3.5,1.2778491973876953,fixation,1.0
32,2,20.0,Medium,20_0.429_0.653.png,1.269268274307251,0.437,0.659,,,,7.829725742340088,20.39057731628418,1.0,1.3814741373062134,hidden,22.772050857543945,3.5,0.9482516050338745,fixation,1.0
33,2,22.0,Congruent,13b_0.735_1.000.png,1.1257171630859375,0.727,1.0,,,,7.045342445373535,29.489572525024414,1.0,0.9089523553848267,hidden,31.398523330688477,3.5,0.6363900899887085,fixation,1.0
34,2,11.0,Congruent,11_0.000_0.776.png,1.234303593635559,0.0,0.774,,,,7.421964347362518,37.6606330871582,1.0,0.6425345540046692,hidden,39.303165435791016,3.5,1.2794297933578491,fixation,1.0
35,2,9.0,Medium,9_0.490_0.408.png,1.1095672845840454,0.483,0.405,,,,8.044550776481628,46.316898345947266,1.0,1.3658503293991089,hidden,48.6827507019043,3.5,1.1787004470825195,fixation,1.0
36,2,2.0,Incongruent,2_0.755_0.000.png,1.2310056686401367,0.76,0.0,,,,6.782111406326294,55.47101593017578,1.0,0.5110617876052856,hidden,56.982078552246094,3.5,0.7710496187210083,fixation,1.0
37,2,18.0,Incongruent,18_0.469_0.204.png,1.2321202754974365,0.462,0.197,,,,7.241479873657227,63.484134674072266,1.0,1.0500015020370483,hidden,65.53413391113281,3.5,0.6914783716201782,fixation,1.0
38,2,11.0,Congruent,11_0.367_0.918.png,1.0079981088638306,0.358,0.923,,,,6.5760772824287415,71.95773315429688,1.0,0.5376344919204712,hidden,73.49536895751953,3.5,0.5384427905082703,fixation,1.0
39,2,20.0,Medium,20_0.939_0.408.png,1.4379470348358154,0.942,0.412,,,,7.720286250114441,79.54180908203125,1.0,0.753955602645874,hidden,81.29576873779297,3.5,1.466330647468567,fixation,1.0
40,2,18.0,Incongruent,18_0.286_0.531.png,1.0932891368865967,0.291,0.521,,,,8.15431523323059,88.70004272460938,1.0,1.1875475645065308,hidden,90.88758850097656,3.5,1.46676766872406,fixation,1.0
41,2,8.0,Incongruent,8_0.082_0.755.png,1.0395894050598145,0.074,0.765,,,,7.283914625644684,97.94764709472656,1.0,0.963812530040741,hidden,99.91146087646484,3.5,0.8201020956039429,fixation,1.0
42,2,20.0,Medium,20_0.653_0.816.png,1.3907794952392578,0.644,0.81,,,,7.062061429023743,106.27114868164062,1.0,0.9500255584716797,hidden,108.22117614746094,3.5,0.612035870552063,fixation,1.0
43,2,9.0,Medium,9_0.449_0.469.png,1.4977504014968872,0.44,0.469,,,,6.992577075958252,114.72399139404297,1.0,0.8066852688789368,hidden,116.53067779541016,3.5,0.6858918070793152,fixation,1.0
44,2,22.0,Congruent,13b_0.429_0.837.png,1.0306438207626343,0.419,0.831,,,,7.4211607575416565,123.21431732177734,1.0,1.2265290021896362,hidden,125.44084930419922,3.5,0.6946317553520203,fixation,1.0
45,2,3.0,Congruent,3_0.510_0.082.png,1.2828426361083984,0.503,0.072,,,,6.810641407966614,131.66612243652344,1.0,0.7585352659225464,hidden,133.42466735839844,3.5,0.5521061420440674,fixation,1.0
46,2,1.0,Medium,1_0.776_0.224.png,1.3445429801940918,0.766,0.227,,,,7.286185324192047,139.75961303710938,1.0,0.5473682284355164,hidden,141.30697631835938,3.5,1.2388170957565308,fixation,1.0
47,2,3.0,Congruent,3_0.020_0.449.png,1.027579665184021,0.022,0.444,,,,7.681614935398102,148.3903350830078,1.0,0.7538595795631409,hidden,150.14419555664062,3.5,1.427755355834961,fixation,1.0
48,2,1.0,Medium,1_0.918_0.510.png,1.4795259237289429,0.923,0.505,,,,7.12786203622818,157.0995330810547,1.0,0.7334190011024475,hidden,158.83294677734375,3.5,0.8944430351257324,fixation,1.0
49,2,2.0,Incongruent,2_0.939_0.592.png,1.460737705230713,0.948,0.586,,,,7.2912774085998535,165.70692443847656,1.0,0.5070353746414185,hidden,167.21395874023438,3.5,1.284242033958435,fixation,1.0
50,2,22.0,Congruent,13b_0.776_0.796.png,1.0620183944702148,0.781,0.796,,,,7.262366354465485,174.4589385986328,1.0,0.5567247271537781,hidden,176.01565551757812,3.5,1.2056416273117065,fixation,1.0
51,2,18.0,Incongruent,18_0.490_0.408.png,1.1306922435760498,0.49,0.416,,,,7.503543853759766,182.7833251953125,1.0,1.1550921201705933,hidden,184.93841552734375,3.5,0.8484517335891724,fixation,1.0
52,2,8.0,Incongruent,8_0.633_0.469.png,1.0284427404403687,0.637,0.476,,,,6.971701979637146,191.4175567626953,1.0,0.7601515054702759,hidden,193.17770385742188,3.5,0.7115504741668701,fixation,1.0
53,2,3.0,Congruent,3_0.265_0.000.png,1.1891694068908691,0.257,0.003,,,,6.793437302112579,199.41769409179688,1.0,0.6826205253601074,hidden,201.10032653808594,3.5,0.6108167767524719,fixation,1.0
54,2,2.0,Incongruent,2_0.714_0.449.png,1.3847386837005615,0.706,0.444,,,,7.154881238937378,207.4003143310547,1.0,0.7452662587165833,hidden,209.14556884765625,3.5,0.9096149802207947,fixation,1.0
55,2,1.0,Medium,1_0.898_0.408.png,1.3960790634155273,0.903,0.418,,,,7.533223092556,215.93992614746094,1.0,1.36838960647583,hidden,218.30831909179688,3.5,0.6648334860801697,fixation,1.0
56,2,9.0,Medium,9_0.388_0.286.png,1.3637350797653198,0.382,0.291,,,,7.913777589797974,224.86923217773438,1.0,1.4536924362182617,hidden,227.3229217529297,3.5,0.9600851535797119,fixation,1.0
57,2,,Fixation,,1.1142053604125977,,,fixation,5.0,run_end,1.9311782717704773,234.14674377441406,0.0,0.5965579152107239,hidden,234.74330139160156,0.0,1.3346203565597534,fixation,0.0
58,3,,Fixation,,1.4761850833892822,,,fixation,10.0,run_start,2.7044912576675415,0.0,0.0,1.2247576713562012,hidden,1.2247576713562012,0.0,1.4797335863113403,fixation,0.0
59,3,2.0,Incongruent,2_0.673_0.531.png,1.1869088411331177,0.664,0.532,,,,7.650760650634766,4.180676460266113,1.0,1.181227684020996,hidden,6.361904144287109,3.0,1.4695329666137695,fixation,1.0
60,3,8.0,Incongruent,8_0.245_0.857.png,1.2453603744506836,0.237,0.865,,,,7.751018047332764,13.018345832824707,1.0,1.365525484085083,hidden,15.383871078491211,3.0,1.3854925632476807,fixation,1.0
61,3,11.0,Congruent,11_0.000_0.673.png,1.4018698930740356,0.0,0.677,,,,7.002185106277466,22.014724731445312,1.0,1.0157322883605957,hidden,24.03045654296875,3.0,0.9864528179168701,fixation,1.0
62,3,9.0,Medium,9_0.429_0.429.png,1.2050801515579224,0.436,0.437,,,,6.684256494045258,30.418779373168945,1.0,1.028445839881897,hidden,32.44722366333008,3.0,0.6558106541633606,fixation,1.0
63,3,2.0,Incongruent,2_0.531_0.367.png,1.0246071815490723,0.532,0.368,,,,7.45611310005188,38.3081169128418,1.0,1.305341124534607,hidden,40.61345672607422,3.0,1.150771975517273,fixation,1.0
64,3,1.0,Medium,1_0.837_0.510.png,1.2652525901794434,0.845,0.505,,,,7.592798352241516,46.78883743286133,1.0,1.4748512506484985,hidden,49.26368713378906,3.0,1.1179471015930176,fixation,1.0
65,3,11.0,Congruent,11_0.020_0.633.png,1.0412392616271973,0.013,0.626,,,,6.708881378173828,55.646888732910156,1.0,0.7057344913482666,hidden,57.352622985839844,3.0,1.0031468868255615,fixation,1.0
66,3,18.0,Incongruent,18_0.143_0.061.png,1.31682550907135,0.134,0.062,,,,7.672959208488464,63.39700698852539,1.0,1.2465765476226807,hidden,65.64358520507812,3.0,1.4263826608657837,fixation,1.0
67,3,20.0,Medium,20_0.796_0.673.png,1.2319997549057007,0.803,0.678,,,,6.6791709661483765,72.38679504394531,1.0,0.7900866270065308,hidden,74.1768798828125,3.0,0.8890843391418457,fixation,1.0
68,3,3.0,Congruent,3_0.347_0.163.png,1.3172155618667603,0.354,0.171,,,,7.391368985176086,80.29796600341797,1.0,1.0134142637252808,hidden,82.3113784790039,3.0,1.3779547214508057,fixation,1.0
69,3,20.0,Medium,20_0.776_0.714.png,1.011279582977295,0.778,0.721,,,,6.564911305904388,89.00654602050781,1.0,0.6049458980560303,hidden,90.61149597167969,3.0,0.9599654078483582,fixation,1.0
70,3,18.0,Incongruent,18_0.224_0.204.png,1.2649915218353271,0.231,0.208,,,,6.844024240970612,96.5827407836914,1.0,1.0318421125411987,hidden,98.61457824707031,3.0,0.8121821284294128,fixation,1.0
