trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
0,1,20,Medium,20_0.878_0.163.png,2.1777841687314408,0.885,0.155,8.02604401289575,0.0,1.0,2.4269908858288334,hidden,3.4269908858288334,2.0,1.5990531270669175,fixation,1.0
1,1,1,Medium,1_0.796_0.286.png,3.3834252207260618,0.802,0.291,8.15857601166286,10.203828181627191,1.0,1.7437414420643584,hidden,12.94756962369155,2.0,2.4148345695984994,fixation,1.0
2,1,3,Incongruent,3_0.041_0.041.png,3.4784827226059765,0.047,0.043,7.790889662199742,21.74582941401611,1.0,2.2401600917905253,hidden,24.985989505806636,2.0,1.550729570409217,fixation,1.0
3,1,18,Congruent,18_0.163_0.224.png,3.1789026020947415,0.161,0.234,8.487714481255047,33.01520179882183,1.0,2.120084229638473,hidden,36.1352860284603,2.0,2.367630251616572,fixation,1.0
4,1,22,Congruent,13b_0.755_0.673.png,2.355258039790616,0.76,0.678,8.260586789964158,44.68181888217162,1.0,2.0343101353106916,hidden,47.71612901748231,2.0,2.2262766546534696,fixation,1.0
5,1,9,Incongruent,9_0.245_0.143.png,2.101065861747613,0.251,0.151,7.828559117044001,55.29766371192639,1.0,2.0900514669343773,hidden,58.387715178860766,2.0,1.7385076501096246,fixation,1.0
6,1,8,Congruent,8_0.653_0.755.png,3.3360230571270195,0.661,0.75,8.732321836464223,65.227288690718,1.0,2.406845272798891,hidden,68.63413396351689,2.0,2.325476563665327,fixation,1.0
7,1,9,Incongruent,9_0.163_0.347.png,3.373633543520081,0.16,0.341,7.701760522273474,77.29563358430924,1.0,1.8547600799501325,hidden,80.15039366425938,2.0,1.847000442323341,fixation,1.0
8,1,20,Medium,20_1.000_0.184.png,2.20150909205655,1.0,0.177,8.052279159248386,88.3710276501028,1.0,1.9876593224476697,hidden,91.35868697255047,2.0,2.0646198368007163,fixation,1.0
9,1,22,Congruent,13b_0.694_0.633.png,2.9882308971347795,0.7,0.636,8.252146651861324,98.62481590140774,1.0,1.9539832946639932,hidden,101.57879919607174,2.0,2.298163357197329,fixation,1.0
10,1,8,Congruent,8_0.694_0.939.png,3.3392209149528265,0.687,0.937,7.728935328159935,109.86519345040385,1.0,1.7156224277229124,hidden,112.58081587812676,2.0,2.0133129004370334,fixation,1.0
11,1,1,Medium,1_0.857_0.082.png,2.1687381297788146,0.856,0.083,7.292955216133919,120.93334969351662,1.0,1.7163591959922497,hidden,123.64970888950887,2.0,1.5765960201416855,fixation,1.0
12,1,2,Medium,2_0.837_0.163.png,2.7492409341716932,0.837,0.171,8.246767288519692,130.39504303942934,1.0,1.9721452422291852,hidden,133.3671882816585,2.0,2.274622046290512,fixation,1.0
13,1,8,Congruent,8_1.000_0.694.png,2.6439168342005774,0.992,0.688,7.11701698613399,141.39105126212073,1.0,1.5013507041413037,hidden,143.89240196626204,2.0,1.6156662819926857,fixation,1.0
14,1,20,Medium,20_0.592_0.143.png,3.386907283062012,0.592,0.137,8.131224898500847,151.1519850824553,1.0,1.990406042591307,hidden,154.1423911250466,2.0,2.1408188559095507,fixation,1.0
15,1,2,Medium,2_0.612_0.122.png,2.739299656928035,0.617,0.115,7.2822200455510995,162.67011726401816,1.0,1.6460879483924846,hidden,165.31620521241064,2.0,1.6361320971586233,fixation,1.0
16,1,18,Congruent,18_0.224_0.224.png,3.6682728796510733,0.229,0.231,7.282593214031323,172.6916369664973,1.0,1.5879850493365657,hidden,175.27962201583387,2.0,1.694608164694756,fixation,1.0
17,1,20,Medium,20_0.755_0.347.png,2.995075279027019,0.759,0.337,7.950761280410035,183.6425030601797,1.0,2.2687856737253966,hidden,186.9112887339051,2.0,1.6819756066846434,fixation,1.0
18,1,11,Incongruent,11_0.082_0.776.png,2.7160526752743115,0.089,0.777,8.545997303302556,194.58833961961676,1.0,2.2318235280986265,hidden,197.8201631477154,2.0,2.3141737752039218,fixation,1.0
19,1,1,Medium,1_0.857_0.000.png,2.5723389876711424,0.86,0.0,8.461992591376145,205.85038959819363,1.0,2.233659697516556,hidden,209.08404929571017,2.0,2.228332893859611,fixation,1.0
20,1,9,Incongruent,9_0.041_0.082.png,2.351854877935489,0.04,0.092,8.172329223980654,216.88472117724092,1.0,2.1913174245345197,hidden,220.07603860177545,2.0,1.9810117994461338,fixation,1.0
21,1,18,Congruent,18_0.204_0.102.png,2.525372451314417,0.199,0.102,7.514409131488492,227.40890527915707,1.0,1.5005354064646617,hidden,229.90944068562172,2.0,2.013873725023846,fixation,1.0
22,1,1,Medium,1_0.878_0.306.png,3.8126871772377897,0.883,0.296,7.385957399807722,237.44868686195997,1.0,1.8219015513814556,hidden,240.27058841334141,2.0,1.564055848426292,fixation,1.0
23,1,2,Medium,2_0.837_0.286.png,3.248326088858983,0.838,0.293,8.739235535157775,248.64733143900548,1.0,2.3684940288787044,hidden,252.01582546788418,2.0,2.3707415062790895,fixation,1.0
24,1,8,Congruent,8_0.571_0.816.png,3.814797650008663,0.579,0.808,8.088463598099906,260.6348930630222,1.0,1.683111560057188,hidden,263.3180046230794,2.0,2.405352038042737,fixation,1.0
25,1,3,Incongruent,3_0.224_0.143.png,2.0670797127810556,0.231,0.136,7.8085568911135965,272.53815431113077,1.0,1.9886489117463348,hidden,275.5268032228771,2.0,1.8199079793672408,fixation,1.0
26,1,18,Congruent,18_0.122_0.306.png,2.2578895860630492,0.114,0.309,8.173790653592732,282.4137909150254,1.0,2.079284585065291,hidden,285.4930755000907,2.0,2.094506068527454,fixation,1.0
27,1,3,Incongruent,3_0.041_0.306.png,3.0890328472744515,0.046,0.302,7.520208722805876,292.8454711546812,1.0,1.5876354611516945,hidden,295.4331066158329,2.0,1.9325732616541424,fixation,1.0
28,1,11,Incongruent,11_0.041_0.796.png,2.6306104562930637,0.04,0.802,7.866695432492577,303.4547127247615,1.0,1.8793600611480175,hidden,306.33407278590954,2.0,1.9873353713445503,fixation,1.0
29,1,22,Congruent,13b_0.694_0.857.png,2.1384771308017587,0.697,0.85,7.973914552667736,313.9520186135472,1.0,1.5796673339606784,hidden,316.53168594750787,2.0,2.3942472187070374,fixation,1.0
30,1,11,Incongruent,11_0.102_0.735.png,2.5630972737080935,0.104,0.745,7.9861396215732725,324.06441029701665,1.0,2.0351103171982423,hidden,327.0995206142149,2.0,1.9510293043750448,fixation,1.0
31,1,2,Medium,2_0.776_0.224.png,2.3309476045801993,0.78,0.215,7.9695488381730115,334.613647192298,1.0,1.9774250041491732,hidden,337.59107219644716,2.0,1.992123834023868,fixation,1.0
32,1,3,Incongruent,3_0.224_0.388.png,3.8849117880907014,0.232,0.383,8.018926631505735,344.91414363505123,1.0,1.620100049077773,hidden,347.534243684129,2.0,2.398826582427951,fixation,1.0
33,1,22,Congruent,13b_0.939_0.816.png,2.0502873825047168,0.945,0.817,7.3570506620067135,356.81798205464764,1.0,1.8551099846189267,hidden,359.6730920392666,2.0,1.501940677387789,fixation,1.0
34,1,11,Incongruent,11_0.143_0.653.png,2.0745417781573696,0.141,0.649,8.102029105021984,366.2253200991591,1.0,2.073103261909506,hidden,369.2984233610686,2.0,2.028925843112435,fixation,1.0
35,1,9,Incongruent,9_0.327_0.082.png,3.9723980077215355,0.318,0.08,8.47739414876952,376.40189098233844,1.0,2.3319832739175865,hidden,379.73387425625606,2.0,2.1454108748519083,fixation,1.0
36,2,22,Congruent,13b_0.776_0.633.png,2.3657992470542117,0.777,0.625,8.74868299303823,0.0,1.0,2.343644174628995,hidden,3.343644174628995,2.0,2.405038818409235,fixation,1.0
37,2,2,Medium,2_0.898_0.102.png,3.6748041193767,0.888,0.101,8.445254027429996,11.114482240092443,1.0,2.022418348292549,hidden,14.136900588384991,2.0,2.4228356791374512,fixation,1.0
38,2,18,Congruent,18_0.265_0.306.png,2.7403023315322184,0.274,0.302,8.480621586306963,23.234540386899138,1.0,2.4808227221159047,hidden,26.715363109015044,2.0,1.9997988641910567,fixation,1.0
39,2,11,Incongruent,11_0.245_0.796.png,2.9203451655479276,0.249,0.799,7.565909220991379,34.45546430473832,1.0,1.9498506017825101,hidden,37.40531490652083,2.0,1.6160586192088702,fixation,1.0
40,2,22,Congruent,13b_0.673_0.673.png,2.5010037079477296,0.677,0.671,8.347743572133531,44.94171869127763,1.0,2.0654628199119367,hidden,48.007181511189565,2.0,2.2822807522215975,fixation,1.0
41,2,2,Medium,2_0.898_0.143.png,3.535021627674618,0.903,0.152,8.282492405151196,55.79046597135889,1.0,2.319203187462946,hidden,59.10966915882184,2.0,1.9632892176882448,fixation,1.0
42,2,9,Incongruent,9_0.265_0.102.png,2.2465675889516827,0.273,0.104,8.007143142518572,67.60798000418471,1.0,2.066701459744669,hidden,70.67468146392937,2.0,1.9404416827739062,fixation,1.0
43,2,1,Medium,1_0.857_0.143.png,3.821456348993734,0.865,0.145,8.057425664334858,77.86169073565496,1.0,2.1392202885359284,hidden,81.00091102419088,2.0,1.9182053757989395,fixation,1.0
44,2,8,Congruent,8_0.735_0.735.png,2.2671814745998757,0.733,0.725,7.656502755219492,89.74057274898355,1.0,1.8549132810780171,hidden,92.59548603006156,2.0,1.801589474141478,fixation,1.0
45,2,1,Medium,1_0.776_0.184.png,3.3121682687703577,0.769,0.193,7.905124752453915,99.66425697880292,1.0,2.236617680804711,hidden,102.90087465960764,2.0,1.6685070716492012,fixation,1.0
46,2,20,Medium,20_0.898_0.020.png,2.0710332302166625,0.894,0.026,7.921490218220214,110.8815500000272,1.0,2.137912337272015,hidden,114.01946233729922,2.0,1.7835778809481937,fixation,1.0
47,2,9,Incongruent,9_0.000_0.265.png,2.9865077524581203,0.008,0.268,7.61055339116335,120.87407344846407,1.0,2.0190633375489146,hidden,123.89313678601299,2.0,1.5914900536144487,fixation,1.0
48,2,18,Congruent,18_0.245_0.082.png,2.6936594606466855,0.239,0.079,8.401202685943787,131.47113459208555,1.0,2.1194325140299863,hidden,134.59056710611554,2.0,2.281770171913788,fixation,1.0
49,2,2,Medium,2_0.673_0.000.png,3.6694653529363332,0.678,0.007,7.718137525038912,142.565996738676,1.0,1.825143719285347,hidden,145.39114045796134,2.0,1.8929938057535751,fixation,1.0
