trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
0,1,2,Incongruent,2_0.510_0.265.png,2.5756625396999584,0.511,0.258,7.154597717874679,0.0,1.0,1.5458193602598094,hidden,2.5458193602598094,2.0,1.6087783576148693,fixation,1.0
1,1,22,Incongruent,13b_0.898_0.735.png,3.359155854625768,0.89,0.738,7.211416006697219,9.730260257574637,1.0,1.6755419420392066,hidden,12.405802199613843,2.0,1.5358740646580142,fixation,1.0
2,1,3,Medium,3_0.469_0.184.png,2.3589257968066306,0.46,0.187,7.7416725722224236,20.300832118897624,1.0,2.1570030852212576,hidden,23.457835204118883,2.0,1.5846694870011642,fixation,1.0
3,1,11,Congruent,11_0.429_0.816.png,3.7025305719103367,0.437,0.82,7.495971506871481,30.401430487926678,1.0,1.7496194299457355,hidden,33.15104991787241,2.0,1.746352076925748,fixation,1.0
4,1,18,Incongruent,18_0.388_0.163.png,3.880593549289031,0.39,0.159,7.759413782857514,41.599932566708496,1.0,2.0009213666390586,hidden,44.60085393334755,2.0,1.7584924162184605,fixation,1.0
5,1,20,Congruent,20_0.694_0.184.png,3.6537857546582337,0.685,0.192,8.771143897477451,53.23993989885504,1.0,2.391405217885816,hidden,56.63134511674086,2.0,2.379738679591632,fixation,1.0
6,1,9,Congruent,9_0.245_0.388.png,2.7145043465170335,0.247,0.387,7.8959052998992405,65.66486955099073,1.0,1.934759445125545,hidden,68.59962899611628,2.0,1.9611458547736904,fixation,1.0
7,1,2,Incongruent,2_0.918_0.449.png,3.0366405385795003,0.926,0.441,8.418936290544295,76.275279197407,1.0,1.9959353733692038,hidden,79.27121457077621,2.0,2.4230009171750835,fixation,1.0
8,1,1,Medium,1_0.633_0.327.png,2.662555316875588,0.641,0.333,8.40585502208458,87.7308560265308,1.0,2.2812898279227216,hidden,91.01214585445352,2.0,2.124565194161862,fixation,1.0
9,1,20,Congruent,20_0.735_0.122.png,2.3255179278192397,0.73,0.132,8.162366178343134,98.79926636549096,1.0,1.9644177627584334,hidden,101.7636841282494,2.0,2.197948415584702,fixation,1.0
10,1,1,Medium,1_0.898_0.082.png,3.4936414221366614,0.89,0.08,7.903620364846574,109.28715047165333,1.0,1.9097411980232846,hidden,112.19689166967662,2.0,1.9938791668232905,fixation,1.0
11,1,18,Incongruent,18_0.041_0.041.png,2.8299528538411947,0.051,0.032,7.726834170577916,120.68441225863657,1.0,1.8772015277410978,hidden,123.56161378637766,2.0,1.8496326428368162,fixation,1.0
12,1,22,Incongruent,13b_0.755_0.816.png,3.0184713291657386,0.765,0.826,8.524897661871734,131.2411992830557,1.0,2.381781221627427,hidden,134.6229805046831,2.0,2.143116440244315,fixation,1.0
