trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
0,1,2,Medium,2_0.898_0.184.png,3.0507284238897627,0.901,0.175,8.387841877184623,0.0,1.0,2.338779861186766,hidden,3.338779861186766,2.0,2.0490620159978583,fixation,1.0
1,1,8,Incongruent,8_0.878_0.857.png,3.2224435918804084,0.884,0.854,7.833017635765177,11.438570301074385,1.0,1.820091214248174,hidden,14.25866151532256,2.0,2.0129264215170037,fixation,1.0
2,1,11,Congruent,11_0.184_0.735.png,2.5288683129776555,0.186,0.744,7.670451744072718,22.494031528719972,1.0,1.6790593922270243,hidden,25.173090920946997,2.0,1.9913923518456924,fixation,1.0
3,1,2,Medium,2_0.776_0.082.png,3.2139342907102444,0.776,0.074,8.25546440163194,32.693351585770344,1.0,2.0785346907730347,hidden,35.77188627654338,2.0,2.176929710858907,fixation,1.0
4,1,8,Incongruent,8_0.878_1.000.png,3.5318116223926586,0.881,1.0,8.440647704662368,44.162750278112526,1.0,2.3698979018144337,hidden,47.53264817992696,2.0,2.0707498028479314,fixation,1.0
5,1,2,Medium,2_0.796_0.224.png,2.5203250200103584,0.794,0.232,8.01187328562937,56.13520960516755,1.0,2.492933485681837,hidden,59.62814309084939,2.0,1.5189397999475278,fixation,1.0
6,1,22,Medium,13b_0.878_0.816.png,3.6111478619967663,0.874,0.814,8.63623199148347,66.66740791080728,1.0,2.2824334000976076,hidden,69.94984131090489,2.0,2.353798591385871,fixation,1.0
7,1,9,Congruent,9_0.204_0.204.png,2.935182070906205,0.203,0.205,7.945837695300085,78.91478776428752,1.0,2.3676520656995605,hidden,82.28243982998708,2.0,1.5781856296005288,fixation,1.0
8,1,8,Incongruent,8_0.918_1.000.png,3.397043471814737,0.925,1.0,8.10562658285572,89.79580753049382,1.0,1.7811344283692563,hidden,92.57694195886307,2.0,2.3244921544864674,fixation,1.0
9,1,18,Incongruent,18_0.122_0.020.png,2.4886727693687183,0.116,0.026,8.150926123292251,101.29847758516428,1.0,2.1433260127214533,hidden,104.44180359788574,2.0,2.0076001105707872,fixation,1.0
10,1,22,Medium,13b_0.959_0.755.png,2.4159478002023533,0.967,0.757,7.551734693654126,111.93807647782525,1.0,1.7560386644158974,hidden,114.69411514224115,2.0,1.7956960292382333,fixation,1.0
11,1,9,Congruent,9_0.122_0.224.png,2.205253596877168,0.132,0.232,7.668676271673235,121.90575897168173,1.0,1.6123256964916397,hidden,124.51808466817337,2.0,2.0563505751815825,fixation,1.0
12,1,22,Medium,13b_0.796_0.837.png,2.9918742574867805,0.804,0.827,7.976820483305971,131.77968884023213,1.0,2.4435342790645875,hidden,135.2232231192967,2.0,1.5332862042413815,fixation,1.0
13,1,11,Congruent,11_0.245_0.673.png,3.879023751596622,0.242,0.668,7.7532476336955085,142.74838358102488,1.0,1.7852358829945634,hidden,145.53361946401944,2.0,1.968011750700942,fixation,1.0
14,1,8,Incongruent,8_0.776_0.837.png,3.574183723538164,0.767,0.846,8.3811773702283,154.38065496631702,1.0,2.1649533689495524,hidden,157.54560833526656,2.0,2.2162240012787735,fixation,1.0
15,1,11,Congruent,11_0.490_0.776.png,3.308306276368117,0.482,0.786,7.439120805922357,166.3360160600835,1.0,1.8681825241225958,hidden,169.2041985842061,2.0,1.5709382817997493,fixation,1.0
16,1,18,Incongruent,18_0.204_0.306.png,3.367824191526961,0.198,0.303,7.382869965473361,177.08344314237397,1.0,1.5972760444925658,hidden,179.68071918686653,2.0,1.7855939209807956,fixation,1.0
17,1,22,Medium,13b_0.816_0.918.png,2.847808259845368,0.81,0.914,7.820277186487289,187.83413729937428,1.0,1.8416691180443872,hidden,190.67580641741867,2.0,1.9786080684428815,fixation,1.0
18,1,18,Incongruent,18_0.041_0.102.png,2.8246018065070397,0.048,0.104,7.869379774447765,198.50222274570694,1.0,1.6481030720755987,hidden,201.15032581778254,2.0,2.221276702372175,fixation,1.0
19,1,9,Congruent,9_0.143_0.245.png,2.3523406502683244,0.134,0.241,8.242101921246189,209.19620432666176,1.0,2.4404401431570477,hidden,212.6366444698188,2.0,1.8016617780891397,fixation,1.0
20,1,8,Incongruent,8_0.592_0.653.png,2.169813793378766,0.582,0.663,8.252755369020491,219.79064689817628,1.0,1.7695338797648947,hidden,222.56018077794118,2.0,2.483221489255576,fixation,1.0
21,1,2,Medium,2_0.776_0.061.png,3.9284692358637603,0.781,0.053,7.810394064477094,230.21321606057555,1.0,1.9988458170000323,hidden,233.2120618775756,2.0,1.811548247477038,fixation,1.0
