trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
0,1,18,Congruent,18_0.224_0.122.png,2.8585316831487635,0.215,0.121,8.373403069934211,0.0,1.0,1.888614041886687,hidden,2.888614041886687,2.0,2.4847890280475244,fixation,1.0
1,1,2,Incongruent,2_0.878_0.000.png,2.142551834108284,0.869,0.0,8.065205301819098,11.231934753082975,1.0,2.441231902238787,hidden,14.673166655321761,2.0,1.6239733995803123,fixation,1.0
2,1,22,Incongruent,13b_0.796_0.898.png,2.8309377695414617,0.801,0.901,7.610736693487826,21.439691889010355,1.0,1.8577125673424288,hidden,24.297404456352783,2.0,1.7530241261453967,fixation,1.0
3,1,9,Medium,9_0.286_0.286.png,2.8853857210728964,0.291,0.294,8.198975115844853,31.88136635203964,1.0,1.932689497774961,hidden,34.8140558498146,2.0,2.266285618069893,fixation,1.0
4,1,22,Incongruent,13b_0.959_0.592.png,2.269273219788644,0.959,0.594,8.204568751576431,42.96572718895739,1.0,1.9027791919133668,hidden,45.868506380870755,2.0,2.3017895596630664,fixation,1.0
5,1,11,Medium,11_0.449_1.000.png,2.603636604294262,0.442,1.0,7.804755163058964,53.43956916032246,1.0,1.9709461370437933,hidden,56.41051529736626,2.0,1.8338090260151647,fixation,1.0
6,1,2,Incongruent,2_0.816_0.306.png,3.158244585913322,0.812,0.308,8.762964714679498,63.847960927675686,1.0,2.3655610529862905,hidden,67.21352198066198,2.0,2.3974036616932004,fixation,1.0
7,1,8,Congruent,8_0.898_0.878.png,2.201384939872665,0.905,0.884,8.45360234793445,75.76917022826851,1.0,2.1765623380447776,hidden,78.94573256631328,2.0,2.2770400098896735,fixation,1.0
8,1,2,Incongruent,2_0.673_0.020.png,2.834545348705462,0.667,0.027,7.220515406748106,86.42415751607562,1.0,1.6844428884723697,hidden,89.108600404548,2.0,1.5360725182757302,fixation,1.0
9,1,11,Medium,11_0.102_0.837.png,3.7513498609726854,0.102,0.835,8.103549860884456,96.47921827152919,1.0,1.9068928287917335,hidden,99.38611110032093,2.0,2.196657032092721,fixation,1.0
10,1,22,Incongruent,13b_0.755_0.653.png,2.170329631985778,0.751,0.656,7.9052909839890475,108.33411799338633,1.0,1.5004909782973588,hidden,110.83460897168369,2.0,2.404800005691677,fixation,1.0
11,1,8,Congruent,8_0.653_0.653.png,3.8650937789105333,0.655,0.656,8.40848892705769,118.40973860936116,1.0,1.930943063556233,hidden,121.34068167291738,2.0,2.477545863501456,fixation,1.0
12,1,9,Medium,9_0.041_0.245.png,2.272652628079432,0.04,0.24,8.857130089076918,130.68332131532938,1.0,2.483879712387756,hidden,134.16720102771714,2.0,2.373250376689163,fixation,1.0
13,1,11,Medium,11_0.306_0.714.png,3.4426421974204446,0.312,0.712,8.118384903479352,141.81310403248574,1.0,2.299046505927973,hidden,145.11215053841372,2.0,1.8193383975513635,fixation,1.0
14,1,9,Medium,9_0.000_0.102.png,2.0970441239044346,0.0,0.102,7.921164571662928,153.37413113338553,1.0,2.407601736775004,hidden,156.78173287016054,2.0,1.5135628348879306,fixation,1.0
15,1,22,Incongruent,13b_0.837_0.755.png,2.54749394787412,0.831,0.752,8.215553200797075,163.39233982895288,1.0,2.456298420942085,hidden,166.84863824989498,2.0,1.7592547798549834,fixation,1.0
16,1,8,Congruent,8_0.531_0.673.png,2.439082562341003,0.533,0.678,8.547032012428417,174.1553869776241,1.0,2.1877352210368524,hidden,177.34312219866095,2.0,2.3592967913915444,fixation,1.0
17,1,22,Incongruent,13b_0.653_0.714.png,2.42378024474103,0.649,0.724,7.164333484446871,185.14150155239352,1.0,1.5423651987065279,hidden,187.68386675110006,2.0,1.6219682857403468,fixation,1.0
18,1,18,Congruent,18_0.306_0.082.png,3.383633427515567,0.297,0.087,7.719282291394762,194.72961528158143,1.0,1.5743259937170313,hidden,197.30394127529846,2.0,2.14495629767775,fixation,1.0
