trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
0,1,18,Congruent,18_0.367_0.245.png,2.152169176794531,0.372,0.253,7.774299490741371,0.0,1.0,1.8358335074443537,hidden,2.8358335074443537,2.0,1.938465983297017,fixation,1.0
1,1,20,Medium,20_0.796_0.245.png,3.969098346641938,0.804,0.251,8.120281754513465,9.926468667535902,1.0,1.9915915678788743,hidden,12.918060235414776,2.0,2.12869018663459,fixation,1.0
2,1,2,Incongruent,2_0.592_0.163.png,3.7049921329340005,0.582,0.153,8.14823265722968,22.015848768691306,1.0,1.7510394129617244,hidden,24.76688818165303,2.0,2.3971932442679553,fixation,1.0
3,1,18,Congruent,18_0.184_0.429.png,3.4428522668490302,0.182,0.432,7.529555276806576,33.869073558854986,1.0,1.8740731079673958,hidden,36.74314666682238,2.0,1.6554821688391814,fixation,1.0
4,1,9,Medium,9_0.469_0.245.png,2.353652937486142,0.466,0.235,7.406697067195395,44.84148110251059,1.0,1.7590372458852863,hidden,47.60051834839588,2.0,1.6476598213101057,fixation,1.0
5,1,1,Medium,1_0.388_0.408.png,3.1150870867951053,0.384,0.399,7.95931773921464,54.601831107192126,1.0,2.1266038765235535,hidden,57.72843498371568,2.0,1.8327138626910893,fixation,1.0
6,1,20,Medium,20_0.612_0.245.png,3.63055268280195,0.603,0.244,7.67647397064961,65.67623593320187,1.0,1.6570938466613758,hidden,68.33332977986325,2.0,2.0193801239882334,fixation,1.0
7,1,3,Incongruent,3_0.327_0.224.png,3.5870029501690697,0.322,0.223,8.336323183729505,76.98326258665342,1.0,2.0507654165860956,hidden,80.03402800323951,2.0,2.2855577671434206,fixation,1.0
8,1,11,Incongruent,11_0.184_0.796.png,2.1589602206719274,0.192,0.79,8.094353746091514,88.906588720552,1.0,2.211114045813034,hidden,92.11770276636503,2.0,1.883239700278483,fixation,1.0
9,1,8,Congruent,8_0.490_0.673.png,2.094962695464597,0.482,0.665,8.412669379552995,99.15990268731544,1.0,2.341028907238656,hidden,102.50093159455409,2.0,2.0716404723143493,fixation,1.0
