trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,event_type,fix_dur,fix_kind,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
0,1,,Fixation,,0.0,,,fixation,10.0,run_start,10.0,0.0,0.0,0.0,hidden,0.0,0.0,0.0,fixation,0.0
1,1,11,Congruent,11_0.122_0.898.png,1.4491589520853951,0.125,0.906,,,,5.787748078472887,10.0,1.0,0.6320482036708246,hidden,11.632048203670825,2.5,0.6556998748020622,fixation,1.0
2,1,3,Congruent,3_0.122_0.061.png,1.2943687987866643,0.13,0.066,,,,6.34304374385902,17.23690703055828,1.0,0.7618522753046783,hidden,18.99875930586296,2.5,1.0811914685543402,fixation,1.0
3,1,20,Medium,20_1.000_0.918.png,1.2372584681654994,1.0,0.917,,,,5.893133925157045,24.874319573203966,1.0,0.8801437761364661,hidden,26.754463349340433,2.5,0.5129901490205762,fixation,1.0
4,1,11,Congruent,11_0.306_0.857.png,1.1407510385840967,0.316,0.856,,,,6.284544361897147,32.00471196652651,1.0,1.0805116415653746,hidden,34.08522360809188,2.5,0.7040327203317748,fixation,1.0
5,1,9,Medium,9_0.551_0.347.png,1.0765344498706022,0.553,0.345,,,,6.54326030289473,39.430007367007754,1.0,0.8850905383846235,hidden,41.31509790539238,2.5,1.1581697645101063,fixation,1.0
6,1,2,Incongruent,2_0.571_0.490.png,1.0032974337191354,0.568,0.481,,,,6.690944099732725,47.049802119773084,1.0,1.4158761913320803,hidden,49.465678311105165,2.5,0.7750679084006442,fixation,1.0
7,1,18,Incongruent,18_0.408_0.286.png,1.465553343813389,0.415,0.288,,,,6.850729242701789,54.74404365322494,1.0,1.1309309970693269,hidden,56.87497465029427,2.5,1.2197982456324588,fixation,1.0
8,1,8,Incongruent,8_0.959_0.429.png,1.461075899387437,0.955,0.43,,,,6.463662186346099,63.06032623974012,1.0,1.18298139823567,hidden,65.24330763797579,2.5,0.7806807881104318,fixation,1.0
9,1,1,Medium,1_0.653_0.327.png,1.1007991919511941,0.657,0.331,,,,6.293869821128979,70.98506432547366,1.0,0.765736460283915,hidden,72.75080078575758,2.5,1.0281333608450618,fixation,1.0
10,1,22,Congruent,13b_0.000_0.694.png,1.2966466762608602,0.0,0.685,,,,6.833850019060009,78.37973333855383,1.0,1.0218202566772798,hidden,80.4015535952311,2.5,1.312029762382742,fixation,1.0
11,1,8,Incongruent,8_0.571_0.571.png,1.0187415092544108,0.567,0.568,,,,5.833486320908207,86.5102300338747,1.0,0.50042769026582,hidden,88.01065772414053,2.5,0.8330586306423797,fixation,1.0
12,1,11,Congruent,11_0.082_0.673.png,1.348306645253911,0.082,0.672,,,,7.257934656170704,93.36245786403732,1.0,1.3530131112184853,hidden,95.71547097525581,2.5,1.404921544952213,fixation,1.0
