template_csv,template_rel,iter_idx,seed,stage1_obj,rank_stage1,csv,isi_dist,iti_dist,isi_lo,isi_hi,iti_lo,iti_hi,isi_shape,iti_shape,enc_raw_max_worst,enc_raw_p95_worst,enc_raw_mean,enc_part_max_worst,enc_part_p95_worst,enc_part_mean,dec_raw_max_worst,dec_raw_p95_worst,dec_raw_mean,dec_part_max_worst,dec_part_p95_worst,dec_part_mean,fb_raw_max_worst,fb_raw_p95_worst,fb_raw_mean,fb_part_max_worst,fb_part_p95_worst,fb_part_mean,all_max_worst,all_p95_worst,all_mean,cov_chi2,cov_minbin,cov_chi2_worst,cov_minbin_worst,coll_max,coll_p95,coll_max_worst,coll_p95_worst,coll_enc_max,coll_enc_p95,coll_dec_max,coll_dec_p95,coll_fb_max,coll_fb_p95,enc_part_nuked_n_worst,enc_part_nuked_frac_worst,enc_part_nuked_frac_mean,coll_enc_max_worst,coll_enc_p95_worst,coll_dec_max_worst,coll_dec_p95_worst,coll_fb_max_worst,coll_fb_p95_worst,id
C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final\session-1\final_sub-001_sess-1_3event.csv,session-1/final_sub-001_sess-1_3event.csv,395,2.31519E+15,1010.487494,0,C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final_top5\session-1\final_sub-001_sess-1_3event_rank01_seed2315190770551870_obj1010.4875.csv,uniform,uniform,0.5,1.5,1,1.5,2,2,0.278315611,0.160202649,0.0433593,0.2494364,0.158421734,0.044420529,0.26298048,0.158340014,0.045053023,0.262272655,0.161802466,0.045845492,0.233298982,0.157635198,0.042683585,0.237434089,0.158384622,0.043560997,0.782177304,0.207516883,0.059608034,9.888888889,0,9.888888889,0,0.782177304,0.207516883,0.782177304,0.207516883,0.2494364,0.158421734,0.262272655,0.161802466,0.237434089,0.158384622,0,0,0,0.2494364,0.158421734,0.262272655,0.161802466,0.237434089,0.158384622,1
C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final\session-1\final_sub-002_sess-1_3event.csv,session-1/final_sub-002_sess-1_3event.csv,398,7.1568E+14,1010.489255,0,C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final_top5\session-1\final_sub-002_sess-1_3event_rank01_seed715679963033846_obj1010.4893.csv,uniform,uniform,0.5,1.5,1,1.5,2,2,0.268092312,0.162428415,0.043415811,0.252930194,0.161733234,0.044389504,0.276492178,0.158995225,0.04514827,0.273554701,0.162118875,0.045888637,0.250832605,0.160000315,0.042812762,0.253412596,0.157902814,0.043696781,0.782811795,0.208960659,0.059891254,9.888888889,0,9.888888889,0,0.782811795,0.208960659,0.782811795,0.208960659,0.252930194,0.161733234,0.273554701,0.162118875,0.253412596,0.157902814,0,0,0,0.252930194,0.161733234,0.273554701,0.162118875,0.253412596,0.157902814,2
C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final\session-1\final_sub-003_sess-1_3event.csv,session-1/final_sub-003_sess-1_3event.csv,443,4.24956E+15,1011.379457,0,C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final_top5\session-1\final_sub-003_sess-1_3event_rank01_seed4249555436628507_obj1011.3795.csv,uniform,uniform,0.5,1.5,1,1.5,2,2,0.267013896,0.155814966,0.043380468,0.248609762,0.160763259,0.044417779,0.259783674,0.158117894,0.045124606,0.261478888,0.163256373,0.045979772,0.230829251,0.155524821,0.042803842,0.242848255,0.156171,0.043713055,0.781454829,0.210952219,0.060045053,10.77777778,0,10.77777778,0,0.781454829,0.210952219,0.781454829,0.210952219,0.248609762,0.160763259,0.261478888,0.163256373,0.242848255,0.156171,0,0,0,0.248609762,0.160763259,0.261478888,0.163256373,0.242848255,0.156171,3
C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final\session-1\final_sub-004_sess-1_3event.csv,session-1/final_sub-004_sess-1_3event.csv,225,3.07787E+15,1008.713743,0,C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final_top5\session-1\final_sub-004_sess-1_3event_rank01_seed3077869436580834_obj1008.7137.csv,uniform,uniform,0.5,1.5,1,1.5,2,2,0.265916668,0.160085361,0.043444534,0.252477466,0.162230129,0.044387911,0.257862507,0.164858447,0.045211232,0.260204798,0.168979843,0.046000653,0.24660224,0.157784971,0.042889472,0.255422844,0.159522308,0.043786943,0.781815989,0.211724362,0.060228169,8.111111111,0,8.111111111,0,0.781815989,0.211724362,0.781815989,0.211724362,0.252477466,0.162230129,0.260204798,0.168979843,0.255422844,0.159522308,0,0,0,0.252477466,0.162230129,0.260204798,0.168979843,0.255422844,0.159522308,4
C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final\session-1\final_sub-005_sess-1_3event.csv,session-1/final_sub-005_sess-1_3event.csv,105,1.62051E+15,1009.598001,0,C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final_top5\session-1\final_sub-005_sess-1_3event_rank01_seed1620508208510146_obj1009.5980.csv,uniform,uniform,0.5,1.5,1,1.5,2,2,0.276067331,0.157300422,0.043427642,0.246677941,0.160973036,0.044523332,0.264799535,0.157562186,0.045127892,0.26655824,0.162009532,0.046012685,0.238159842,0.155498751,0.042820693,0.244352726,0.159396674,0.043784441,0.779743648,0.208128861,0.060064052,9,0,9,0,0.779743648,0.208128861,0.779743648,0.208128861,0.246677941,0.160973036,0.26655824,0.162009532,0.244352726,0.159396674,0,0,0,0.246677941,0.160973036,0.26655824,0.162009532,0.244352726,0.159396674,5
C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final\session-1\final_sub-006_sess-1_3event.csv,session-1/final_sub-006_sess-1_3event.csv,328,3.28418E+15,1011.378369,0,C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final_top5\session-1\final_sub-006_sess-1_3event_rank01_seed3284177942504598_obj1011.3784.csv,uniform,uniform,0.5,1.5,1,1.5,2,2,0.270602013,0.161149475,0.043266577,0.265728878,0.162601771,0.044273367,0.263413742,0.163113085,0.045090924,0.263668632,0.166739088,0.045911967,0.245968959,0.160063349,0.042762087,0.254952328,0.16593739,0.043763002,0.785401933,0.207890314,0.059897378,10.77777778,0,10.77777778,0,0.785401933,0.207890314,0.785401933,0.207890314,0.265728878,0.162601771,0.263668632,0.166739088,0.254952328,0.16593739,0,0,0,0.265728878,0.162601771,0.263668632,0.166739088,0.254952328,0.16593739,6
C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final\session-1\final_sub-007_sess-1_3event.csv,session-1/final_sub-007_sess-1_3event.csv,120,3.37834E+14,1011.377,0,C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final_top5\session-1\final_sub-007_sess-1_3event_rank01_seed337834423500350_obj1011.3770.csv,uniform,uniform,0.5,1.5,1,1.5,2,2,0.266207115,0.167737365,0.043306388,0.255523756,0.168960319,0.044300879,0.268116171,0.166270398,0.045093566,0.268620268,0.17015533,0.045893005,0.233143655,0.16371038,0.042756948,0.239266477,0.164043501,0.043738963,0.783803463,0.20732054,0.059741975,10.77777778,0,10.77777778,0,0.783803463,0.20732054,0.783803463,0.20732054,0.255523756,0.168960319,0.268620268,0.17015533,0.239266477,0.164043501,0,0,0,0.255523756,0.168960319,0.268620268,0.17015533,0.239266477,0.164043501,7
C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final\session-1\final_sub-008_sess-1_3event.csv,session-1/final_sub-008_sess-1_3event.csv,202,1.47204E+15,1010.490687,0,C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final_top5\session-1\final_sub-008_sess-1_3event_rank01_seed1472040012106990_obj1010.4907.csv,uniform,uniform,0.5,1.5,1,1.5,2,2,0.269120736,0.160756943,0.04327658,0.250976212,0.159203014,0.044322058,0.271491402,0.164275257,0.045088737,0.270712954,0.164335777,0.045955184,0.235586375,0.158273679,0.042673122,0.242818954,0.15983476,0.043504178,0.781832515,0.210882014,0.059687128,9.888888889,0,9.888888889,0,0.781832515,0.210882014,0.781832515,0.210882014,0.250976212,0.159203014,0.270712954,0.164335777,0.242818954,0.15983476,0,0,0,0.250976212,0.159203014,0.270712954,0.164335777,0.242818954,0.15983476,8
C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final\session-1\final_sub-009_sess-1_3event.csv,session-1/final_sub-009_sess-1_3event.csv,174,2.15378E+15,1010.490805,0,C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final_top5\session-1\final_sub-009_sess-1_3event_rank01_seed2153780369321898_obj1010.4908.csv,uniform,uniform,0.5,1.5,1,1.5,2,2,0.277529298,0.161797103,0.043290395,0.259537575,0.164505687,0.044300091,0.260565158,0.160982054,0.045000904,0.259619463,0.167448524,0.045756779,0.239657322,0.158538325,0.042673897,0.246422211,0.158733653,0.043571741,0.783801818,0.21001555,0.059664802,9.888888889,0,9.888888889,0,0.783801818,0.21001555,0.783801818,0.21001555,0.259537575,0.164505687,0.259619463,0.167448524,0.246422211,0.158733653,0,0,0,0.259537575,0.164505687,0.259619463,0.167448524,0.246422211,0.158733653,9
C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final\session-1\final_sub-010_sess-1_3event.csv,session-1/final_sub-010_sess-1_3event.csv,487,9.97944E+14,1010.492484,0,C:\Users\arech\repos\novel_concept_learning_fMRI\experimental_task\task_designs\final_top5\session-1\final_sub-010_sess-1_3event_rank01_seed997943680822548_obj1010.4925.csv,uniform,uniform,0.5,1.5,1,1.5,2,2,0.271513867,0.161196623,0.043465828,0.258037727,0.164487092,0.04460089,0.25178155,0.161809298,0.045185698,0.252229876,0.1646537,0.046029622,0.238342812,0.15866235,0.04290213,0.244787712,0.159707481,0.043902188,0.783985188,0.211602096,0.060294491,9.888888889,0,9.888888889,0,0.783985188,0.211602096,0.783985188,0.211602096,0.258037727,0.164487092,0.252229876,0.1646537,0.244787712,0.159707481,0,0,0,0.258037727,0.164487092,0.252229876,0.1646537,0.244787712,0.159707481,10
