trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
0,1,3,Incongruent,3_0.224_0.041.png,3.277518393310989,0.218,0.043,8.246166405515106,0.0,1.0,2.2004816770981424,hidden,3.2004816770981424,2.0,2.0456847284169637,fixation,1.0
1,1,8,Incongruent,8_0.878_0.939.png,2.235317048643112,0.884,0.948,7.938063324066949,11.523684798826096,1.0,1.8611792060174719,hidden,14.384864004843568,2.0,2.0768841180494784,fixation,1.0
2,1,9,Congruent,9_0.163_0.286.png,2.230457751763155,0.161,0.296,8.024094890708614,21.697065171536156,1.0,1.5841425107042264,hidden,24.28120768224038,2.0,2.4399523800043896,fixation,1.0
3,1,11,Incongruent,11_0.347_0.673.png,2.932666870066125,0.352,0.663,7.880142337952954,31.951617814007925,1.0,1.8242171218154075,hidden,34.77583493582333,2.0,2.055925216137543,fixation,1.0
4,1,8,Incongruent,8_0.694_0.878.png,2.4903466422246527,0.692,0.871,7.7264511504479,42.76442702202701,1.0,1.7427719068672256,hidden,45.50719892889423,2.0,1.9836792435806763,fixation,1.0
5,1,22,Congruent,13b_0.918_0.653.png,3.346487352170871,0.924,0.661,8.074714949517656,52.98122481469956,1.0,1.893697149513424,hidden,55.87492196421298,2.0,2.181017800004235,fixation,1.0
6,1,18,Medium,18_0.163_0.306.png,3.463606267911512,0.163,0.314,8.661615439294735,64.40242711638808,1.0,2.343644981150468,hidden,67.74607209753854,2.0,2.317970458144274,fixation,1.0
7,1,1,Medium,1_0.714_0.020.png,3.4558193199959186,0.709,0.022,8.56966270686631,76.52764882359433,1.0,2.2412359182007195,hidden,79.76888474179505,2.0,2.328426788665596,fixation,1.0
8,1,11,Incongruent,11_0.000_0.714.png,3.8898699893991378,0.0,0.714,8.602237436833107,88.55313085045657,1.0,2.2743757398030624,hidden,91.82750659025963,2.0,2.3278616970300394,fixation,1.0
9,1,1,Medium,1_0.796_0.143.png,3.3944989305018316,0.793,0.147,7.58287874485768,101.04523827668882,1.0,1.6009264847370992,hidden,103.64616476142592,2.0,1.9819522601205857,fixation,1.0
10,1,18,Medium,18_0.224_0.102.png,3.219250786004503,0.222,0.093,7.98550497680813,112.02261595204833,1.0,1.8280986860798072,hidden,114.85071463812814,2.0,2.157406290728311,fixation,1.0
11,1,8,Incongruent,8_0.796_0.612.png,2.4836261093385037,0.803,0.618,8.223743984926472,123.22737171486096,1.0,2.1501031963457375,hidden,126.3774749112067,2.0,2.073640788580724,fixation,1.0
