trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
0,1,11,Medium,11_0.061_0.735.png,2.129141016682187,0.071,0.725,8.356550045310057,0.0,1.0,2.106582609602337,hidden,3.106582609602337,2.0,2.249967435707719,fixation,1.0
1,1,22,Incongruent,13b_0.694_0.694.png,2.7454207636974512,0.7,0.694,7.931747006040327,10.485691061992243,1.0,1.9241163886593364,hidden,13.40980745065158,2.0,2.00763061738099,fixation,1.0
2,1,1,Medium,1_0.816_0.082.png,2.5057783191983347,0.819,0.083,8.535112416374947,21.16285883173002,1.0,2.2473275653558256,hidden,24.410186397085845,2.0,2.287784851019123,fixation,1.0
3,1,20,Congruent,20_0.592_0.122.png,3.64295742049244,0.601,0.126,7.165584472351668,32.203749567303305,1.0,1.6631671721231511,hidden,34.86691673942646,2.0,1.5024173002285162,fixation,1.0
4,1,22,Incongruent,13b_1.000_0.816.png,2.318870531102766,1.0,0.807,7.272107126805061,43.01229146014741,1.0,1.5434591560682738,hidden,45.55575061621568,2.0,1.7286479707367892,fixation,1.0
5,1,1,Medium,1_0.816_0.184.png,3.1537356687625815,0.81,0.186,7.772422313602327,52.60326911805524,1.0,1.5929324011083952,hidden,55.19620151916363,2.0,2.179489912493935,fixation,1.0
6,1,8,Incongruent,8_0.612_0.755.png,2.5577895462902074,0.603,0.749,8.003696510161355,63.52942710042014,1.0,1.8455629913872118,hidden,66.37499009180736,2.0,2.158133518774132,fixation,1.0
7,1,11,Medium,11_0.469_0.714.png,2.736732968883116,0.478,0.704,8.288208977157083,74.09091315687171,1.0,2.1977403010474585,hidden,77.28865345791917,2.0,2.090468676109628,fixation,1.0
8,1,18,Congruent,18_0.306_0.490.png,3.7868280426370395,0.31,0.482,7.867044177901491,85.11585510291191,1.0,1.6240434184633807,hidden,87.7398985213753,2.0,2.2430007594381083,fixation,1.0
9,1,20,Congruent,20_0.592_0.204.png,2.3647961389192647,0.589,0.202,8.589958658985566,96.76972732345044,1.0,2.205983096148682,hidden,99.97571041959912,2.0,2.3839755628368793,fixation,1.0
10,1,9,Incongruent,9_0.286_0.408.png,3.87022322828906,0.288,0.412,7.790836970386692,107.72448212135527,1.0,2.1447423061400857,hidden,110.86922442749535,2.0,1.6460946642466023,fixation,1.0
11,1,2,Medium,2_0.714_0.286.png,2.2819904073765294,0.705,0.29,7.754145363326501,119.38554232003102,1.0,2.2510274451656667,hidden,122.63656976519668,2.0,1.503117918160845,fixation,1.0
12,1,9,Incongruent,9_0.429_0.000.png,2.1048340526612717,0.436,0.0,8.23510712822926,129.42167809073405,1.0,1.9506492532544075,hidden,132.37232734398845,2.0,2.284457874974856,fixation,1.0
13,1,22,Incongruent,13b_0.694_0.551.png,3.2410219690588367,0.701,0.555,8.268810111772893,139.76161927162457,1.0,2.236778071189211,hidden,142.99839734281377,2.0,2.032032040583674,fixation,1.0
14,1,2,Medium,2_0.510_0.041.png,2.4001913729967344,0.513,0.033,7.19196995013192,151.2714513524563,1.0,1.508391146150665,hidden,153.77984249860697,2.0,1.683578803981237,fixation,1.0
15,1,3,Congruent,3_0.102_0.204.png,3.2104357049145955,0.099,0.208,7.5693084454657935,160.86361267558496,1.0,1.8245585347540936,hidden,163.68817121033905,2.0,1.7447499107117106,fixation,1.0
16,1,9,Incongruent,9_0.000_0.102.png,2.5884419646478154,0.009,0.111,7.341804985218516,171.64335682596536,1.0,1.7988590205273602,hidden,174.44221584649273,2.0,1.5429459646911505,fixation,1.0
17,1,3,Congruent,3_0.204_0.367.png,3.4475278047611564,0.213,0.363,8.055552513299745,181.57360377583169,1.0,2.4752002731676352,hidden,185.04880404899933,2.0,1.5803522401320884,fixation,1.0
18,1,18,Congruent,18_0.184_0.265.png,2.149774899140739,0.177,0.271,8.272503411026833,193.0766840938926,1.0,2.2799590474419973,hidden,196.3566431413346,2.0,1.9925443635848339,fixation,1.0
19,1,3,Congruent,3_0.102_0.347.png,3.348149681650473,0.104,0.351,7.447002309188491,203.49896240406017,1.0,1.8225479769583446,hidden,206.3215103810185,2.0,1.6244543322301581,fixation,1.0
20,1,11,Medium,11_0.102_0.571.png,2.0210325454946245,0.097,0.571,7.9404127358156416,214.29411439489914,1.0,1.696811625297754,hidden,216.9909260201969,2.0,2.243601110517894,fixation,1.0
21,1,2,Medium,2_0.551_0.408.png,3.0517128184672146,0.551,0.407,7.067668061679058,224.2555596762094,1.0,1.525564070202507,hidden,226.7811237464119,2.0,1.542103991476548,fixation,1.0
22,1,22,Incongruent,13b_0.776_0.633.png,2.623788239376602,0.778,0.641,8.105128557915833,234.37494055635568,1.0,2.3539795651180664,hidden,237.72892012147375,2.0,1.7511489927977535,fixation,1.0
