trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
0,1,9,Incongruent,9_0.102_0.265.png,2.5999104603540544,0.112,0.257,7.1146481738597736,0.0,1.0,1.6031633141269608,hidden,2.603163314126961,2.0,1.5114848597328119,fixation,1.0
1,1,3,Congruent,3_0.306_0.204.png,3.6479366918291856,0.298,0.195,7.71352978056939,9.714558634213828,1.0,1.8874845278847592,hidden,12.602043162098587,2.0,1.8260452526846305,fixation,1.0
2,1,11,Congruent,11_0.265_0.878.png,2.7311610926790495,0.272,0.885,7.383483942917561,21.076025106612406,1.0,1.620869775829179,hidden,23.696894882441583,2.0,1.7626141670883846,fixation,1.0
3,1,22,Congruent,13b_0.755_0.776.png,3.131722465653765,0.748,0.776,7.817552557148758,31.190670142209015,1.0,1.8299359007976412,hidden,34.02060604300666,2.0,1.9876166563511162,fixation,1.0
4,1,8,Incongruent,8_0.755_0.980.png,3.5930591515084336,0.753,0.985,8.497078783050597,42.13994516501154,1.0,1.998673963107886,hidden,45.13861912811942,2.0,2.4984048199427127,fixation,1.0
5,1,22,Congruent,13b_0.776_0.755.png,2.45259437683991,0.781,0.763,8.281498118847033,54.23008309957057,1.0,2.474985210362365,hidden,57.70506830993293,2.0,1.8065129084846674,fixation,1.0
6,1,2,Medium,2_0.694_0.286.png,3.557320519418454,0.694,0.281,8.549387759215406,64.96417559525752,1.0,2.183355801268664,hidden,68.14753139652618,2.0,2.3660319579467455,fixation,1.0
7,1,11,Congruent,11_0.245_0.837.png,2.568514999122697,0.246,0.838,7.458592033171485,77.07088387389138,1.0,1.8494602478815934,hidden,79.92034412177297,2.0,1.6091317852898839,fixation,1.0
8,1,18,Incongruent,18_0.245_0.245.png,2.3422121258771016,0.237,0.247,7.974449358517404,87.09799090618556,1.0,1.6551507416272586,hidden,89.75314164781281,2.0,2.319298616890157,fixation,1.0
9,1,9,Incongruent,9_0.327_0.347.png,2.6066923193228497,0.328,0.351,8.302305431728087,97.41465239058006,1.0,2.023950275296514,hidden,100.43860266587657,2.0,2.2783551564315694,fixation,1.0
