trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
0,1,20,Medium,20_0.918_0.592.png,3.5440977213741904,0.908,0.596,8.290294465708795,0.0,1.0,2.4996454995954998,hidden,3.4996454995954998,2.0,1.7906489661132956,fixation,1.0
1,1,9,Medium,9_0.000_0.041.png,3.7467747986193762,0.0,0.033,7.795424698429603,11.834392187082987,1.0,1.6375048342848806,hidden,14.471897021367868,2.0,2.1579198641447226,fixation,1.0
2,1,3,Incongruent,3_0.122_0.449.png,2.0031061359631623,0.131,0.452,7.297522928467824,23.376591684131967,1.0,1.7865522230888817,hidden,26.16314390722085,2.0,1.5109707053789423,fixation,1.0
3,1,18,Incongruent,18_0.286_0.347.png,2.4514939930673183,0.286,0.354,8.274783323158196,32.67722074856295,1.0,1.8802951283622193,hidden,35.55751587692517,2.0,2.3944881947959757,fixation,1.0
4,1,11,Incongruent,11_0.367_0.510.png,3.041850004749292,0.364,0.505,7.463123900839818,43.403498064788465,1.0,1.5053452152292355,hidden,45.9088432800177,2.0,1.9577786856105832,fixation,1.0
5,1,20,Medium,20_0.755_0.143.png,3.3102069576611637,0.765,0.141,8.451599760470899,53.908471970377576,1.0,2.2978367980353256,hidden,57.2063087684129,2.0,2.1537629624355734,fixation,1.0
6,1,18,Incongruent,18_0.224_0.245.png,2.5939096203099803,0.22,0.246,8.155336442607009,65.67027868850964,1.0,1.680600889686609,hidden,68.35087957819624,2.0,2.474735552920407,fixation,1.0
7,1,2,Congruent,2_0.959_0.245.png,3.328170855023556,0.959,0.254,7.689428182055721,76.41952475142664,1.0,1.6446481287340455,hidden,79.06417288016068,2.0,2.044780053321667,fixation,1.0
8,1,9,Medium,9_0.265_0.286.png,3.199709134361017,0.266,0.289,8.18247057637322,87.43712378850591,1.0,2.400323818060657,hidden,90.83744760656657,2.0,1.7821467583125576,fixation,1.0
9,1,22,Congruent,13b_0.673_0.857.png,3.496694905213375,0.68,0.867,7.702187178764291,98.81930349924015,1.0,2.1274763444863494,hidden,101.9467798437265,2.0,1.5747108342779406,fixation,1.0
10,1,20,Medium,20_0.694_0.327.png,2.0328271347482456,0.693,0.327,7.875434568395903,110.01818558321781,1.0,1.6105120619260105,hidden,112.62869764514383,2.0,2.264922506469884,fixation,1.0
11,1,1,Congruent,1_0.531_0.306.png,3.7198546063689024,0.527,0.313,8.297099714284002,119.92644728636196,1.0,2.023186733448768,hidden,122.94963401981073,2.0,2.273912980835242,fixation,1.0
12,1,20,Medium,20_0.612_0.204.png,3.0460931550470853,0.604,0.195,8.259957479780326,131.94340160701486,1.0,2.2120248350534446,hidden,135.15542644206832,2.0,2.0479326447268624,fixation,1.0
13,1,3,Incongruent,3_0.000_0.041.png,3.3759993913766904,0.01,0.037,7.610719861045254,143.24945224184228,1.0,1.8808965480152215,hidden,146.1303487898575,2.0,1.729823313030029,fixation,1.0
14,1,8,Medium,8_0.633_1.000.png,3.689908430656673,0.634,1.0,7.620687373736956,154.23617149426423,1.0,1.6406697432507524,hidden,156.87684123751498,2.0,1.9800176304861892,fixation,1.0
15,1,22,Congruent,13b_0.918_0.612.png,2.0824969293944173,0.922,0.602,8.06459258584502,165.54676729865787,1.0,2.069821886368882,hidden,168.61658918502675,2.0,1.9947706994761358,fixation,1.0
16,1,8,Medium,8_0.735_0.612.png,2.2330006255119397,0.733,0.613,7.615754385343621,175.6938568138973,1.0,1.6376383988449437,hidden,178.33149521274225,2.0,1.9781159864986617,fixation,1.0
17,1,18,Incongruent,18_0.429_0.122.png,2.0509268287307454,0.419,0.129,8.107755064512816,185.54261182475287,1.0,1.661911508523944,hidden,188.20452333327682,2.0,2.445843555988867,fixation,1.0
18,1,1,Congruent,1_0.531_0.204.png,3.5518501633976327,0.523,0.213,8.113522267285049,195.70129371799644,1.0,2.4561115746653046,hidden,199.15740529266174,2.0,1.657410692619742,fixation,1.0
19,1,22,Congruent,13b_0.776_0.408.png,2.2733202722069814,0.785,0.412,8.376448310252044,207.36666614867912,1.0,2.3081388969913466,hidden,210.67480504567047,2.0,2.068309413260682,fixation,1.0
20,1,9,Medium,9_0.204_0.245.png,3.828299516176675,0.201,0.236,8.146695458406128,218.01643473113813,1.0,2.39365570437997,hidden,221.4100904355181,2.0,1.7530397540261577,fixation,1.0
21,1,3,Incongruent,3_0.224_0.000.png,3.3054255628171223,0.232,0.0,8.089440841549902,229.99142970572095,1.0,2.3183838481423376,hidden,233.30981355386328,2.0,1.7710569934075582,fixation,1.0
22,1,8,Medium,8_0.755_0.592.png,2.0738314212790074,0.757,0.584,8.506750054790729,241.38629611008798,1.0,2.3331356638948897,hidden,244.71943177398288,2.0,2.173614390895841,fixation,1.0
23,1,1,Congruent,1_0.490_0.347.png,2.1613815753517995,0.496,0.349,8.377512123226126,251.96687758615772,1.0,1.98684227682566,hidden,254.95371986298338,2.0,2.3906698464005207,fixation,1.0
24,1,9,Medium,9_0.143_0.592.png,3.6354954191788,0.149,0.586,7.823656359354231,262.50577128473566,1.0,1.855089275134352,hidden,265.36086055987,2.0,1.9685670842199257,fixation,1.0
25,1,2,Congruent,2_0.816_0.224.png,3.6429771947481457,0.821,0.225,8.387579009869512,273.9649230632687,1.0,2.3932634826375567,hidden,277.3581865459063,2.0,1.9943155272319424,fixation,1.0
26,1,11,Incongruent,11_0.143_0.408.png,2.632421056292805,0.138,0.399,8.009931983170873,285.99547926788637,1.0,2.143511775061373,hidden,289.13899104294774,2.0,1.8664202081094854,fixation,1.0
27,1,2,Congruent,2_0.592_0.122.png,2.072325673512947,0.597,0.13,7.600460127755753,296.63783230735004,1.0,1.5200991132599864,hidden,299.15793142061,2.0,2.0803610144957796,fixation,1.0
28,1,22,Congruent,13b_0.673_0.878.png,2.400731875345306,0.664,0.871,8.630657495433923,306.3106181086187,1.0,2.2043185625345045,hidden,309.51493667115324,2.0,2.4263389328994114,fixation,1.0
29,1,11,Incongruent,11_0.388_0.531.png,3.899180558072007,0.381,0.525,8.499739312847169,317.3420074793979,1.0,2.480669804480996,hidden,320.82267728387893,2.0,2.019069508366148,fixation,1.0
