participant,localiser_session,run,event_type,fix_dur,block_index,category,trial_in_block,image_path,is_target,img_dur,isi_dur
84,4,1,fixation,16.0,,,,,,,
84,4,1,trial,,1,wallet,1,images/localiser_images/wallet\wallet_30.jpg,0,0.3,0.5
84,4,1,trial,,1,wallet,2,images/localiser_images/wallet\n04548362_29068.JPEG,0,0.3,0.5
84,4,1,trial,,1,wallet,3,images/localiser_images/wallet\n04548362_30183.JPEG,0,0.3,0.5
84,4,1,trial,,1,wallet,4,images/localiser_images/wallet\wallet_43.jpg,0,0.3,0.5
84,4,1,trial,,1,wallet,5,images/localiser_images/wallet\n04548362_9684.JPEG,0,0.3,0.5
84,4,1,trial,,1,wallet,6,images/localiser_images/wallet\n04548362_13193.JPEG,0,0.3,0.5
84,4,1,trial,,1,wallet,7,images/localiser_images/wallet\wallet_12s.jpg,0,0.3,0.5
84,4,1,trial,,1,wallet,8,images/localiser_images/wallet\n04548362_8281.JPEG,0,0.3,0.5
84,4,1,trial,,1,wallet,9,images/localiser_images/wallet\n04548362_25798.JPEG,0,0.3,0.5
84,4,1,trial,,1,wallet,10,images/localiser_images/wallet\n04548362_16451.JPEG,0,0.3,0.5
84,4,1,trial,,1,wallet,11,images/localiser_images/wallet\wallet_08s.jpg,0,0.3,0.5
84,4,1,trial,,1,wallet,12,images/localiser_images/wallet\n04548362_17350.JPEG,0,0.3,0.5
84,4,1,trial,,1,wallet,13,images/localiser_images/wallet\wallet_35.jpg,0,0.3,0.5
84,4,1,trial,,1,wallet,14,images/localiser_images/wallet\wallet_35.jpg,1,0.3,0.5
84,4,1,trial,,1,wallet,15,images/localiser_images/wallet\n04548362_27557.JPEG,0,0.3,0.5
84,4,1,trial,,1,wallet,16,images/localiser_images/wallet\wallet_05s.jpg,0,0.3,0.5
84,4,1,trial,,1,wallet,17,images/localiser_images/wallet\n04548362_13682.JPEG,0,0.3,0.5
84,4,1,trial,,1,wallet,18,images/localiser_images/wallet\n04548362_9660.JPEG,0,0.3,0.5
84,4,1,trial,,1,wallet,19,images/localiser_images/wallet\wallet_10s.jpg,0,0.3,0.5
84,4,1,trial,,1,wallet,20,images/localiser_images/wallet\wallet_13s.jpg,0,0.3,0.5
84,4,1,fixation,4.0,,,,,,,
84,4,1,trial,,2,crib,1,images/localiser_images/crib\n03131574_61958.JPEG,0,0.3,0.5
84,4,1,trial,,2,crib,2,images/localiser_images/crib\n03131574_10474.JPEG,0,0.3,0.5
84,4,1,trial,,2,crib,3,images/localiser_images/crib\n03131574_40619.JPEG,0,0.3,0.5
84,4,1,trial,,2,crib,4,images/localiser_images/crib\n03131574_23147.JPEG,0,0.3,0.5
84,4,1,trial,,2,crib,5,images/localiser_images/crib\crib_12s.jpg,0,0.3,0.5
84,4,1,trial,,2,crib,6,images/localiser_images/crib\n03131574_19238.JPEG,0,0.3,0.5
84,4,1,trial,,2,crib,7,images/localiser_images/crib\crib_07s.jpg,0,0.3,0.5
84,4,1,trial,,2,crib,8,images/localiser_images/crib\n03131574_29104.JPEG,0,0.3,0.5
84,4,1,trial,,2,crib,9,images/localiser_images/crib\n03131574_33466.JPEG,0,0.3,0.5
84,4,1,trial,,2,crib,10,images/localiser_images/crib\crib_14n.jpg,0,0.3,0.5
84,4,1,trial,,2,crib,11,images/localiser_images/crib\n03131574_554.JPEG,0,0.3,0.5
84,4,1,trial,,2,crib,12,images/localiser_images/crib\n03131574_27259.JPEG,0,0.3,0.5
84,4,1,trial,,2,crib,13,images/localiser_images/crib\n03131669_4009.JPEG,0,0.3,0.5
84,4,1,trial,,2,crib,14,images/localiser_images/crib\n03131574_3507.JPEG,0,0.3,0.5
84,4,1,trial,,2,crib,15,images/localiser_images/crib\n03131574_7635.JPEG,0,0.3,0.5
84,4,1,trial,,2,crib,16,images/localiser_images/crib\crib_10s.jpg,0,0.3,0.5
84,4,1,trial,,2,crib,17,images/localiser_images/crib\crib_03s.jpg,0,0.3,0.5
84,4,1,trial,,2,crib,18,images/localiser_images/crib\n03131669_7473.JPEG,0,0.3,0.5
84,4,1,trial,,2,crib,19,images/localiser_images/crib\n03131574_3172.JPEG,0,0.3,0.5
84,4,1,trial,,2,crib,20,images/localiser_images/crib\n03131574_5538.JPEG,0,0.3,0.5
84,4,1,fixation,4.0,,,,,,,
84,4,1,trial,,3,cup,1,images/localiser_images/cup\cup_143.jpg,0,0.3,0.5
84,4,1,trial,,3,cup,2,images/localiser_images/cup\cup_12s.jpg,0,0.3,0.5
84,4,1,trial,,3,cup,3,images/localiser_images/cup\n04397452_16514.JPEG,0,0.3,0.5
84,4,1,trial,,3,cup,4,images/localiser_images/cup\cup_10s.jpg,0,0.3,0.5
84,4,1,trial,,3,cup,5,images/localiser_images/cup\cup_105.jpg,0,0.3,0.5
84,4,1,trial,,3,cup,6,images/localiser_images/cup\cup_45.jpg,0,0.3,0.5
84,4,1,trial,,3,cup,7,images/localiser_images/cup\cup_75.jpg,0,0.3,0.5
84,4,1,trial,,3,cup,8,images/localiser_images/cup\cup_08s.jpg,0,0.3,0.5
84,4,1,trial,,3,cup,9,images/localiser_images/cup\n03063073_4872.JPEG,0,0.3,0.5
84,4,1,trial,,3,cup,10,images/localiser_images/cup\cup_01s.jpg,0,0.3,0.5
84,4,1,trial,,3,cup,11,images/localiser_images/cup\cup_35.jpg,0,0.3,0.5
84,4,1,trial,,3,cup,12,images/localiser_images/cup\cup_90.jpg,0,0.3,0.5
84,4,1,trial,,3,cup,13,images/localiser_images/cup\n03147509_5860.JPEG,0,0.3,0.5
84,4,1,trial,,3,cup,14,images/localiser_images/cup\cup_59.jpg,0,0.3,0.5
84,4,1,trial,,3,cup,15,images/localiser_images/cup\n04397452_10399.JPEG,0,0.3,0.5
84,4,1,trial,,3,cup,16,images/localiser_images/cup\cup_31.jpg,0,0.3,0.5
84,4,1,trial,,3,cup,17,images/localiser_images/cup\n07930864_13830.JPEG,0,0.3,0.5
84,4,1,trial,,3,cup,18,images/localiser_images/cup\cup_78.jpg,0,0.3,0.5
84,4,1,trial,,3,cup,19,images/localiser_images/cup\cup_64.jpg,0,0.3,0.5
84,4,1,trial,,3,cup,20,images/localiser_images/cup\cup_03s.jpg,0,0.3,0.5
84,4,1,fixation,4.0,,,,,,,
84,4,1,trial,,4,eraser,1,images/localiser_images/eraser\eraser_03s.jpg,0,0.3,0.5
84,4,1,trial,,4,eraser,2,images/localiser_images/eraser\rubber eraser_164.jpg,0,0.3,0.5
84,4,1,trial,,4,eraser,3,images/localiser_images/eraser\eraser_12s.jpg,0,0.3,0.5
84,4,1,trial,,4,eraser,4,images/localiser_images/eraser\rubber eraser_157.jpg,0,0.3,0.5
84,4,1,trial,,4,eraser,5,images/localiser_images/eraser\rubber eraser_195.jpg,0,0.3,0.5
84,4,1,trial,,4,eraser,6,images/localiser_images/eraser\eraser_09s.jpg,0,0.3,0.5
84,4,1,trial,,4,eraser,7,images/localiser_images/eraser\rubber eraser_151.jpg,0,0.3,0.5
84,4,1,trial,,4,eraser,8,images/localiser_images/eraser\rubber eraser_174.jpg,0,0.3,0.5
84,4,1,trial,,4,eraser,9,images/localiser_images/eraser\rubber eraser_111.jpg,0,0.3,0.5
84,4,1,trial,,4,eraser,10,images/localiser_images/eraser\rubber eraser_219.jpg,0,0.3,0.5
84,4,1,trial,,4,eraser,11,images/localiser_images/eraser\rubber eraser_114.jpg,0,0.3,0.5
84,4,1,trial,,4,eraser,12,images/localiser_images/eraser\rubber eraser_25.jpg,0,0.3,0.5
84,4,1,trial,,4,eraser,13,images/localiser_images/eraser\rubber eraser_198.jpg,0,0.3,0.5
84,4,1,trial,,4,eraser,14,images/localiser_images/eraser\rubber eraser_61.jpg,0,0.3,0.5
84,4,1,trial,,4,eraser,15,images/localiser_images/eraser\eraser_11s.jpg,0,0.3,0.5
84,4,1,trial,,4,eraser,16,images/localiser_images/eraser\rubber eraser_97.jpg,0,0.3,0.5
84,4,1,trial,,4,eraser,17,images/localiser_images/eraser\rubber eraser_49.jpg,0,0.3,0.5
84,4,1,trial,,4,eraser,18,images/localiser_images/eraser\rubber eraser_222.jpg,0,0.3,0.5
84,4,1,trial,,4,eraser,19,images/localiser_images/eraser\rubber eraser_158.jpg,0,0.3,0.5
84,4,1,trial,,4,eraser,20,images/localiser_images/eraser\rubber eraser_229.jpg,0,0.3,0.5
84,4,1,fixation,4.0,,,,,,,
84,4,1,trial,,5,hammer,1,images/localiser_images/hammer\n03481172_4343.JPEG,0,0.3,0.5
84,4,1,trial,,5,hammer,2,images/localiser_images/hammer\n03482001_4505.JPEG,0,0.3,0.5
84,4,1,trial,,5,hammer,3,images/localiser_images/hammer\n03481172_1600.JPEG,0,0.3,0.5
84,4,1,trial,,5,hammer,4,images/localiser_images/hammer\n04383301_1898.JPEG,0,0.3,0.5
84,4,1,trial,,5,hammer,5,images/localiser_images/hammer\n03481521_1461.JPEG,0,0.3,0.5
84,4,1,trial,,5,hammer,6,images/localiser_images/hammer\n03481521_16657.JPEG,0,0.3,0.5
84,4,1,trial,,5,hammer,7,images/localiser_images/hammer\n03481172_2625.JPEG,0,0.3,0.5
84,4,1,trial,,5,hammer,8,images/localiser_images/hammer\n04383301_1791.JPEG,0,0.3,0.5
84,4,1,trial,,5,hammer,9,images/localiser_images/hammer\n04383301_1791.JPEG,1,0.3,0.5
84,4,1,trial,,5,hammer,10,images/localiser_images/hammer\n03481172_640.JPEG,0,0.3,0.5
84,4,1,trial,,5,hammer,11,images/localiser_images/hammer\n02966545_8246.JPEG,0,0.3,0.5
84,4,1,trial,,5,hammer,12,images/localiser_images/hammer\n03481172_1084.JPEG,0,0.3,0.5
84,4,1,trial,,5,hammer,13,images/localiser_images/hammer\n03481172_1084.JPEG,1,0.3,0.5
84,4,1,trial,,5,hammer,14,images/localiser_images/hammer\n03715669_20616.JPEG,0,0.3,0.5
84,4,1,trial,,5,hammer,15,images/localiser_images/hammer\n03715669_4038.JPEG,0,0.3,0.5
84,4,1,trial,,5,hammer,16,images/localiser_images/hammer\hammer_01b.jpg,0,0.3,0.5
84,4,1,trial,,5,hammer,17,images/localiser_images/hammer\n03715669_328.JPEG,0,0.3,0.5
84,4,1,trial,,5,hammer,18,images/localiser_images/hammer\hammer_09s.jpg,0,0.3,0.5
84,4,1,trial,,5,hammer,19,images/localiser_images/hammer\n02783035_1323.JPEG,0,0.3,0.5
84,4,1,trial,,5,hammer,20,images/localiser_images/hammer\n03481172_4219.JPEG,0,0.3,0.5
84,4,1,fixation,4.0,,,,,,,
84,4,1,trial,,6,radio,1,images/localiser_images/radio\radio_201.jpg,0,0.3,0.5
84,4,1,trial,,6,radio,2,images/localiser_images/radio\radio_94.jpg,0,0.3,0.5
84,4,1,trial,,6,radio,3,images/localiser_images/radio\radio_218.jpg,0,0.3,0.5
84,4,1,trial,,6,radio,4,images/localiser_images/radio\radio_15s.jpg,0,0.3,0.5
84,4,1,trial,,6,radio,5,images/localiser_images/radio\radio_48.jpg,0,0.3,0.5
84,4,1,trial,,6,radio,6,images/localiser_images/radio\radio_8.jpg,0,0.3,0.5
84,4,1,trial,,6,radio,7,images/localiser_images/radio\radio_126.jpg,0,0.3,0.5
84,4,1,trial,,6,radio,8,images/localiser_images/radio\radio_142.jpg,0,0.3,0.5
84,4,1,trial,,6,radio,9,images/localiser_images/radio\radio_32.jpg,0,0.3,0.5
84,4,1,trial,,6,radio,10,images/localiser_images/radio\radio_240.jpg,0,0.3,0.5
84,4,1,trial,,6,radio,11,images/localiser_images/radio\radio_134.jpg,0,0.3,0.5
84,4,1,trial,,6,radio,12,images/localiser_images/radio\radio_179.jpg,0,0.3,0.5
84,4,1,trial,,6,radio,13,images/localiser_images/radio\radio_08s.jpg,0,0.3,0.5
84,4,1,trial,,6,radio,14,images/localiser_images/radio\radio_37.jpg,0,0.3,0.5
84,4,1,trial,,6,radio,15,images/localiser_images/radio\radio_115.jpg,0,0.3,0.5
84,4,1,trial,,6,radio,16,images/localiser_images/radio\radio_114.jpg,0,0.3,0.5
84,4,1,trial,,6,radio,17,images/localiser_images/radio\radio_178.jpg,0,0.3,0.5
84,4,1,trial,,6,radio,18,images/localiser_images/radio\radio_55.jpg,0,0.3,0.5
84,4,1,trial,,6,radio,19,images/localiser_images/radio\radio_87.jpg,0,0.3,0.5
84,4,1,trial,,6,radio,20,images/localiser_images/radio\radio_84.jpg,0,0.3,0.5
84,4,1,fixation,4.0,,,,,,,
84,4,1,trial,,7,refrigerator,1,images/localiser_images/refrigerator\refrigerator_05s.jpg,0,0.3,0.5
84,4,1,trial,,7,refrigerator,2,images/localiser_images/refrigerator\refrigerator_23.jpg,0,0.3,0.5
84,4,1,trial,,7,refrigerator,3,images/localiser_images/refrigerator\n03273913_18612.JPEG,0,0.3,0.5
84,4,1,trial,,7,refrigerator,4,images/localiser_images/refrigerator\refrigerator_113.jpg,0,0.3,0.5
