participant,localiser_session,run,event_type,fix_dur,block_index,category,trial_in_block,image_path,is_target,img_dur,isi_dur
1,1,1,fixation,0.0,,,,,,,
1,1,1,trial,,1,cup,1,images/localiser_images/cup\cup_59.jpg,0,0.3,0.5
1,1,1,trial,,1,cup,2,images/localiser_images/cup\cup_59.jpg,1,0.3,0.5
1,1,1,trial,,1,cup,3,images/localiser_images/cup\n04397452_10399.JPEG,0,0.3,0.5
1,1,1,trial,,1,cup,4,images/localiser_images/cup\cup_60.jpg,0,0.3,0.5
1,1,1,trial,,1,cup,5,images/localiser_images/cup\cup_06s.jpg,0,0.3,0.5
1,1,1,trial,,1,cup,6,images/localiser_images/cup\cup_12s.jpg,0,0.3,0.5
1,1,1,trial,,1,cup,7,images/localiser_images/cup\n03216710_4107.JPEG,0,0.3,0.5
1,1,1,trial,,1,cup,8,images/localiser_images/cup\cup_29.jpg,0,0.3,0.5
1,1,1,trial,,1,cup,9,images/localiser_images/cup\cup_35.jpg,0,0.3,0.5
1,1,1,trial,,1,cup,10,images/localiser_images/cup\n04397452_11657.JPEG,0,0.3,0.5
1,1,1,trial,,1,cup,11,images/localiser_images/cup\n07930864_14244.JPEG,0,0.3,0.5
1,1,1,trial,,1,cup,12,images/localiser_images/cup\cup_114.jpg,0,0.3,0.5
1,1,1,trial,,1,cup,13,images/localiser_images/cup\cup_10s.jpg,0,0.3,0.5
1,1,1,trial,,1,cup,14,images/localiser_images/cup\cup_15s.jpg,0,0.3,0.5
1,1,1,trial,,1,cup,15,images/localiser_images/cup\cup_15s.jpg,1,0.3,0.5
1,1,1,trial,,1,cup,16,images/localiser_images/cup\cup_03s.jpg,0,0.3,0.5
1,1,1,fixation,4.0,,,,,,,
