participant,localiser_session,run,event_type,fix_dur,block_index,category,trial_in_block,image_path,is_target,img_dur,isi_dur
83,1,1,fixation,16.0,,,,,,,
83,1,1,trial,,1,eraser,1,images/localiser_images/eraser\rubber eraser_153.jpg,0,0.3,0.5
83,1,1,trial,,1,eraser,2,images/localiser_images/eraser\rubber eraser_63.jpg,0,0.3,0.5
83,1,1,trial,,1,eraser,3,images/localiser_images/eraser\rubber eraser_201.jpg,0,0.3,0.5
83,1,1,trial,,1,eraser,4,images/localiser_images/eraser\rubber eraser_124.jpg,0,0.3,0.5
83,1,1,trial,,1,eraser,5,images/localiser_images/eraser\rubber eraser_128.jpg,0,0.3,0.5
83,1,1,trial,,1,eraser,6,images/localiser_images/eraser\eraser_07s.jpg,0,0.3,0.5
83,1,1,trial,,1,eraser,7,images/localiser_images/eraser\rubber eraser_111.jpg,0,0.3,0.5
83,1,1,trial,,1,eraser,8,images/localiser_images/eraser\rubber eraser_212.jpg,0,0.3,0.5
83,1,1,trial,,1,eraser,9,images/localiser_images/eraser\rubber eraser_195.jpg,0,0.3,0.5
83,1,1,trial,,1,eraser,10,images/localiser_images/eraser\rubber eraser_125.jpg,0,0.3,0.5
83,1,1,trial,,1,eraser,11,images/localiser_images/eraser\rubber eraser_114.jpg,0,0.3,0.5
83,1,1,trial,,1,eraser,12,images/localiser_images/eraser\rubber eraser_213.jpg,0,0.3,0.5
83,1,1,trial,,1,eraser,13,images/localiser_images/eraser\rubber eraser_176.jpg,0,0.3,0.5
83,1,1,trial,,1,eraser,14,images/localiser_images/eraser\eraser_05s.jpg,0,0.3,0.5
83,1,1,trial,,1,eraser,15,images/localiser_images/eraser\rubber eraser_129.jpg,0,0.3,0.5
83,1,1,trial,,1,eraser,16,images/localiser_images/eraser\rubber eraser_200.jpg,0,0.3,0.5
83,1,1,trial,,1,eraser,17,images/localiser_images/eraser\rubber eraser_174.jpg,0,0.3,0.5
83,1,1,trial,,1,eraser,18,images/localiser_images/eraser\rubber eraser_127.jpg,0,0.3,0.5
83,1,1,trial,,1,eraser,19,images/localiser_images/eraser\rubber eraser_164.jpg,0,0.3,0.5
83,1,1,trial,,1,eraser,20,images/localiser_images/eraser\rubber eraser_97.jpg,0,0.3,0.5
83,1,1,fixation,4.0,,,,,,,
83,1,1,trial,,2,hammer,1,images/localiser_images/hammer\n03481172_12077.JPEG,0,0.3,0.5
83,1,1,trial,,2,hammer,2,images/localiser_images/hammer\n03715669_20616.JPEG,0,0.3,0.5
83,1,1,trial,,2,hammer,3,images/localiser_images/hammer\n03481172_31212.JPEG,0,0.3,0.5
83,1,1,trial,,2,hammer,4,images/localiser_images/hammer\n03481521_14058.JPEG,0,0.3,0.5
83,1,1,trial,,2,hammer,5,images/localiser_images/hammer\n03481172_24804.JPEG,0,0.3,0.5
83,1,1,trial,,2,hammer,6,images/localiser_images/hammer\n03481172_15564.JPEG,0,0.3,0.5
