participant,localiser_session,run,event_type,fix_dur,block_index,category,trial_in_block,image_path,is_target,img_dur,isi_dur
75,3,1,fixation,16.0,,,,,,,
75,3,1,trial,,1,teapot,1,images/localiser_images/teapot\teapot_90.jpg,0,0.3,0.5
75,3,1,trial,,1,teapot,2,images/localiser_images/teapot\teapot_02s.jpg,0,0.3,0.5
75,3,1,trial,,1,teapot,3,images/localiser_images/teapot\teapot_84.jpg,0,0.3,0.5
75,3,1,trial,,1,teapot,4,images/localiser_images/teapot\teapot_42.jpg,0,0.3,0.5
75,3,1,trial,,1,teapot,5,images/localiser_images/teapot\n04398044_6238.JPEG,0,0.3,0.5
75,3,1,trial,,1,teapot,6,images/localiser_images/teapot\teapot_145.jpg,0,0.3,0.5
75,3,1,trial,,1,teapot,7,images/localiser_images/teapot\teapot_106.jpg,0,0.3,0.5
75,3,1,trial,,1,teapot,8,images/localiser_images/teapot\teapot_07s.jpg,0,0.3,0.5
75,3,1,trial,,1,teapot,9,images/localiser_images/teapot\teapot_21.jpg,0,0.3,0.5
75,3,1,trial,,1,teapot,10,images/localiser_images/teapot\teapot_45.jpg,0,0.3,0.5
75,3,1,trial,,1,teapot,11,images/localiser_images/teapot\teapot_13s.jpg,0,0.3,0.5
75,3,1,trial,,1,teapot,12,images/localiser_images/teapot\teapot_31.jpg,0,0.3,0.5
75,3,1,trial,,1,teapot,13,images/localiser_images/teapot\teapot_110.jpg,0,0.3,0.5
75,3,1,trial,,1,teapot,14,images/localiser_images/teapot\bing_teapot_0244.jpg,0,0.3,0.5
75,3,1,trial,,1,teapot,15,images/localiser_images/teapot\teapot_19.jpg,0,0.3,0.5
75,3,1,trial,,1,teapot,16,images/localiser_images/teapot\teapot_113.jpg,0,0.3,0.5
75,3,1,trial,,1,teapot,17,images/localiser_images/teapot\bing_theiere_0091.jpg,0,0.3,0.5
75,3,1,trial,,1,teapot,18,images/localiser_images/teapot\bing_theiere_0091.jpg,1,0.3,0.5
75,3,1,trial,,1,teapot,19,images/localiser_images/teapot\teapot_118.jpg,0,0.3,0.5
75,3,1,trial,,1,teapot,20,images/localiser_images/teapot\teapot_64.jpg,0,0.3,0.5
75,3,1,fixation,4.0,,,,,,,
